都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,情報登録日,情報更新日,備考
26000,0000000647,京都府,京丹後市,静神社,シズカジンジャ,,,京都府京丹後市網野町磯,,35.688544 ,134.992240 ,,,,拝観自由,,,磯地区を見おろす丘の上にある、源義経が愛した静御前を祀る神社。静は、京に出て白拍子となり、義経に見初められるが、晩年は再び故郷で過ごしたと伝えられている。作者不明の静の木像が安置されている。,,京都丹後鉄道宮豊線「網野」駅から車で10分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約40分,,,京丹後市観光公社網野町支部,0772-72-0900,,,,,2009-07-13,2019-06-17,
26000,0000009608,京都府,京丹後市,夕日ヶ浦温泉　笑顔集まる宿　佳松苑,ユウヒガウラオンセン　カショウエン,,,京都府京丹後市網野町木津247,,35.659217 ,134.967124 ,休日：無休,,,宿泊　チェックイン　15時　チェックアウト　10時昼食　11時30分～14時,,,美人の湯で知られる夕日ヶ浦温泉の高台に位置し、客室は全室オーシャンビューの和洋室。大浴場の庭園露天風呂のほか、貸切露天風呂、200畳の宴会場、売店、エステなど幅広いニーズに対応。冬はカニ、春はあわび、秋は松茸に黒毛和牛などお食事処でゆったりと堪能ください。,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で約5分（送迎有り、要予約）山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから車で約35分,普通車40台、大型バス4台、無料,車椅子可（一部段差有り、エレベーター有り、要介助）車椅子対応トイレ有り,夕日ヶ浦温泉　笑顔集まる宿　佳松苑,0772-74-9009,,,,https://kasyouen.com,2014-03-12,2021-03-04,
26000,0000000648,京都府,京丹後市,嶋児神社,シマコジンジャ,,,京都府京丹後市網野町浅茂川,,35.691365 ,135.018055 ,,,,拝観自由,,,網野町は「丹後国風土記」に伝えられる浦島太郎伝説の地。浦島太郎は風土記では水江浦嶋子となっており、この嶋子を祀る神社が嶋児神社。付近には、嶋子が釣った魚を放しておいた釣溜（つんだめ）という岩場もある。,,京都丹後鉄道宮豊線「網野」駅から丹後海陸交通バスで「日吉橋」下車、徒歩5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約30分,,,京丹後市観光公社網野町支部,0772-72-0900,,,,,2009-07-13,2019-06-17,
26000,0000009606,京都府,京丹後市,久美浜湾遊覧船,クミハマワンユウランセン,,,京都府京丹後市久美浜町　久美浜湾,,35.608320 ,134.896491 ,,,,要相談,,"中学生以上　2,000円小学生以下　1,000円",山陰海岸ジオパークの代表的ジオサイトのひとつ、久美浜湾一帯を船の上から楽しめる。船長が久美浜湾の歴史や文化、自然についてわかりやすく説明してくれる。,,京都丹後鉄道宮豊線「久美浜」駅から徒歩10分,,車椅子不可,久美浜湾遊覧船,0772-82-0045,,,,http://mujinto.net/yuran/,2014-03-10,2021-03-04,要予約（4人以上～）
26000,0000000649,京都府,京丹後市,網野銚子山古墳,アミノチョウシヤマコフン,,,京都府京丹後市網野町網野,,35.677794 ,135.029697 ,,,,,,,古墳時代前期末に築造された全長201m、後円部の直径115m、高さ16m、前方部幅80m、高さ10mの前方後円墳で、日本海側最大の古墳。古代丹後の隆盛を物語る代表的な古墳の一つに数えられている。国指定史跡。,,京都丹後鉄道宮豊線「網野」駅から丹後海陸交通バスで「網野」下車、徒歩10分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約30分,,,京丹後市教育委員会,0772-69-0640,,,,,2009-07-13,2019-03-07,
26000,0000009604,京都府,京丹後市,遊漁船　とび丸タクシー,ユウギョセン　トビマルタクシー,,,京都府京丹後市丹後町中浜・竹野・間人,,,,休日：要問い合わせ,,,4月～10月（船が出られる時、海が穏やかな時）,,"大人　3,000円小人　1,500円※「定置網体験」や「青の洞窟めぐり」などの体験プランは上記料金と設定とは異なります。",世界認定された山陰海岸ジオパーク・丹後半島のダイナミックで多種多様な奇岩の海岸線を地元の漁師さんの案内で海上から体感できます。遊覧コース　中浜漁港、竹野漁港、間人漁港「定置網体験」や「青の洞窟めぐり」など体験プランもあります。,,京都丹後鉄道宮豊線「網野」駅から車で20分～40分,,車椅子不可,京丹後龍宮プロジェクト,0772-75-2639,,,,,2014-03-10,2019-03-07,要予約
26000,0000000650,京都府,京丹後市,丹後松島,タンゴマツシマ,,,京都府京丹後市丹後町此代,,35.750656 ,135.139440 ,,,,,,,此代から東方、経ヶ岬の方を見る眺めが、日本三景の一つ「松島」に似ているところから名付けられた。荒々しいカマヤ海岸とは対照的に、1枚の絵のようにおだやかな景観で、小島のように見えるが、すべて陸つづきになっている。ユネスコが支援する自然公園である「山陰海岸ジオパーク」の見所のひとつ。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バス（経ヶ岬行き）で60分「此代」下車山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～国道482号～国道178号,,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2009-07-13,2021-05-06,
26000,0000009611,京都府,京丹後市,夕日ヶ浦温泉　夕日浪漫　一望館,ユウヒガウラオンセン　イチボウカン,,,京都府京丹後市網野町浜詰266,,35.664444 ,134.967084 ,休日：無休,,,宿泊　チェックイン　15時　チェックアウト　10時,,,海まで徒歩30秒の隠れ宿。和モダンロビーがお出迎え。客室は海一望や展望温泉風呂付など多彩なラインナップ。夕食は冬期限定の名物「地蟹あばれ蒸し」をはじめ旬食材のこだわり料理をご用意。美人湯温泉を満たす大きな貸切露天風呂（有料）で独り占め温泉もオススメ。,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で約5分（送迎有り、要予約）山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから車で約40分,普通車32台、無料,車椅子可（一部段差有り、エレベーター有り、要介助）,夕日ヶ浦温泉　夕日浪漫　一望館,0772-74-0190,,,,http://www.ichiboukan.co.jp,2014-03-12,2019-03-07,
26000,0000000652,京都府,京丹後市,立岩,タテイワ,,,京都府京丹後市丹後町間人,,35.743717 ,135.105438 ,,,,,,,麻呂子親王（聖徳太子の異母兄弟）の鬼退治伝説で知られる柱状節理の安山岩。高さ約20mの日本でも数少ない自然岩のひとつ。この辺りは、古代に大陸からの使者船が漂着したところであったといわれ、歴史的にも早くから開けていたことがうかがわれる。ユネスコが支援する自然公園である「山陰海岸ジオパーク」の見所のひとつ。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バス（間人行き）で30分「丹後庁舎前」下車、徒歩5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～国道482号～間人,,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2009-07-13,2021-05-06,
26000,0000009609,京都府,京丹後市,夕日ヶ浦温泉　大人専用の宿　佳松苑はなれ風香,ユウヒガウラオンセン　カショウエンハナレフウカ,,,京都府京丹後市網野町木津247,,35.659218 ,134.967121 ,休日：無休,,,宿泊　チェックイン　15時　チェックアウト　10時,,,1フロア3室の展望温泉風呂付客室はテラスにベッドルーム、和室からなるスイート仕様。開放感ある大浴場やエステルームを併設し、優雅な時を演出します。夕食は地蟹（11月～3月）や但馬牛など贅沢に愉しめる多彩なコースを静かな食事処にてご用意。,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で約5分（送迎有り、要予約）山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから車で約35分,普通車40台、無料,車椅子可（一部段差有り、エレベーター有り、要介助）車椅子対応トイレ有り,夕日ヶ浦温泉　大人専用の宿　佳松苑はなれ風香,0772-74-9009,,,,http://www.k-fuka.com,2014-03-12,2019-03-07,
26000,0000000654,京都府,京丹後市,経ヶ岬,キョウガミサキ,,,京都府京丹後市丹後町袖志,,35.777134 ,135.223342 ,,,,,,無料,京都府の最北端にあり、遠くには若狭の海岸、越前海岸を望むことができる。眼下には約800mにわたり、高さ30～40mの黒い岩肌をみせる柱状節理の安山岩の断崖が続く。岬の突端には、明治31年（1898）完成のさわやかな白亜の経ケ岬灯台がある。映画「新・喜びも悲しみも幾年月」の舞台にもなったが、現在はコンピューター制御の無人灯台。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バス（経ヶ岬行き）で80分「経ヶ岬」下車、徒歩15分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～国道482号～国道178号,,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2009-07-13,2021-05-06,毎年10月末から11月の上旬に灯台内部の一般公開が行われる。
26000,0000008228,京都府,京丹後市,間人温泉郷　鴻の鶴温泉,タイザオンセンキョウ　コウノツルオンセン,,,京都府京丹後市丹後町間人,,,,,,,,,,民宿（内湯）2軒【泉質】アルカリ性単純温泉（低張性アルカリ性温泉）【適応症】神経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節のこわばり、うちみ、くじき、慢性消化器病、痔疾、冷え性、病後回復期など,,京都丹後鉄道宮豊線「網野」駅から車で20分,,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2009-07-13,2021-05-06,源泉
26000,0000000656,京都府,京丹後市,屏風岩,ビョウブイワ,,,京都府京丹後市丹後町筆石,,35.746115 ,135.122623 ,,,,,,,山陰海岸ジオパーク・京都の自然200選に選ばれ、屏風のようにそびえる、高さ13mもある奇岩で、北西の方に小さい岩が5つほど海に浮かび、それがちょうど一直線に連なり、台地の亀裂の変化を物語っている。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バス（経ヶ岬行き）で50分「筆石」下車山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約35分,,,京丹後市観光公社丹後町支部,0772-75-1500,,,,,2009-07-13,2021-05-06,
26000,0000008744,京都府,京丹後市,京丹後市観光公社,キョウタンゴシカンコウコウシャ,,,京都府京丹後市網野町網野367　アミティ丹後1階,,35.667262 ,135.025083 ,,,,8時30分～17時15分,,,京丹後市域の観光案内・PRを行ってる。,,京都丹後鉄道宮豊線「網野」駅下車,,,京丹後市観光公社,0772-72-6070,,,,http://www.kyotango.gr.jp/,2009-07-13,2021-03-04,
26000,0000000661,京都府,京丹後市,黒部銚子山古墳,クロベチョウシヤマコフン,,,京都府京丹後市弥栄町黒部,,35.688990 ,135.099403 ,,,,,,,古墳時代中期初めに築造された前方後円墳。全長約105m、後円部の直径70m、高さ15m、前方部幅45m、高さ10mの大規模なもの。京都府指定史跡。,,京都丹後鉄道宮豊線「峰山」駅から丹後海陸交通バスで25分「国久口」下車、徒歩5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約20分,,,京丹後市教育委員会,0772-69-0640,,,,,2009-07-13,2019-03-08,
26000,0000009603,京都府,京丹後市,花郷OKADA,ハナゴウオカダ,,,京都府京丹後市網野町木津岡田,,35.648923 ,134.987978 ,休日：開園期間中は無休,,,4月中旬～6月中旬頃※花の開花状況による9時30分～16時30分,,大人　700円（中学生以上）小学生　350円幼児無料身障者　350円介添者（1名様のみ）　350円,"咲き乱れる色とりどりの花。75,000平方メートルの広大な花の郷は開放感たっぷりで美しい景観をお楽しみいただけます。",,山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約35分木津駅前「かに一番木津店」からシャトルバスが運行有り、30分（予定）※ゴールデンウィーク限定,普通車100台、大型バス10台,車椅子一部可,花郷OKADA,0772-74-5005,,,,http://www.hokki.co.jp/group/hanago/index.html,2014-03-10,2021-06-29,
26000,0000000662,京都府,京丹後市,細川ガラシャ夫人隠棲地の碑,ホソカワガラシャフジンインセイチノヒ,,,京都府京丹後市弥栄町須川,,35.650115 ,135.155536 ,,,,,,,「本能寺の変」後、夫・細川忠興の命により明智光秀の三女・玉（のちの細川ガラシャ）は、標高約400mに位置する京丹後市弥栄町味土野に幽閉された。ガラシャが2年余り過ごした味土野・女城跡には「細川忠興夫人隠棲地」の記念碑がある。,,京都丹後鉄道宮豊線「網野」駅から車、またはタクシーで40分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約40分（野間基幹集落センターから徒歩約1時間）※野間基幹集落センターから碑のある味土野への道は狭隘で途中離合困難となっているため、自動車の場合は要注意。,,,京丹後市観光公社,0772-72-6070,,,,,2009-07-13,2019-06-17,
26000,0000009684,京都府,京丹後市,はなれ櫂,ハナレカイ,,,京都府京丹後市網野町浜詰669,,35.660241 ,134.964442 ,休日：無休,,,チェックイン　15時チェックアウト　10時,,,大海原に今にも漕ぎ出すかのような舟形の宿から一望する日本海。心と体の疲れをとる軟らかなお湯、夕日ヶ浦温泉。テーブルを彩る丹後但馬の豊かな海の幸。,,京都丹後鉄道宮豊線「夕日ヶ浦木津温泉」駅から車で約5分（送迎有り、要予約）山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから車で約40分,普通車10台、無料,車椅子可（バリアフリーではない）エレベーター無し（3階建て）,はなれ櫂,0772-74-9099,,,,http://www.k-kai.jp/,2018-03-09,2019-03-07,
26000,0000000663,京都府,京丹後市,丹後縦貫林道,タンゴジュウカンリンドウ,,,京都府京丹後市弥栄町,,,,,,,,,,岩滝町・大内峠から丹後半島を尾根づたいに北へ50km、この道が丹後縦貫林道で代表的な景勝地を総ざらいできる。天橋立を横一字に見、そこから世屋高原家族旅行村、スイス村、碇高原総合牧場へと続く。楽しみながら丹後を一度に見て回れるドライブコース。,,,,,京丹後市観光公社,0772-72-6070,,,,,2009-07-13,2019-06-17,
26000,0000008427,京都府,京丹後市,京丹後市観光公社　久美浜町支部,キョウタンゴシカンコウコウシャ　クミハマチョウシブ,,,京都府京丹後市久美浜町772番地　京都丹後鉄道宮豊線久美浜駅内,,35.602295 ,134.895139 ,休日：年末年始,,,9時～17時,,,明治の初め、久美浜県が置かれた時（1868～1871）の県庁舎の正面玄関棟をモデルに造られた京都丹後鉄道久美浜駅舎の中に、事務局及び久美浜町観光総合案内所がある。案内所では、観光案内のほか、季節によりフルーツ狩りの案内も行う。車椅子やレンタサイクルの貸出しも行っている。〈車椅子〉1台　無料（要予約）〈レンタサイクル〉7台　400円貸出時間　9時～17時,,京都丹後鉄道宮豊線「久美浜」駅下車山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～国道178号,,,京丹後市観光公社　久美浜町支部,0772-82-1781,,,,,2009-07-13,2021-03-04,
26000,0000000665,京都府,京丹後市,円頓寺,エンドンジ,,,京都府京丹後市久美浜町円頓寺,,35.589638 ,134.987281 ,,,,拝観自由,,,久美浜町の東方、静かな山間に建つ。本堂の右手には、新しい収蔵庫があり、回廊でつながっている。正面3間、側面4間、宝形造り、銅板かやぶきの本堂は、桃山期の作風を残している。収蔵庫内の用明天皇の皇子、金丸親王により開基されたと伝えられている本尊の薬師如来と、脇立日光・月光菩薩は、重要文化財に指定されている。,,京都丹後鉄道宮豊線「久美浜」駅から車で20分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから約45分,10台,,円頓寺,0772-84-0478,,,,,2009-07-13,2019-03-08,
26000,0000008235,京都府,京丹後市,久美浜温泉,クミハマオンセン,,,京都府京丹後市久美浜町平田,,,,,,,,,,環境省指定　国民保養温泉地「久美の浜温泉郷」（旅館1軒）久美浜温泉　湯元館（TEL.0772-83-1071）天然の露天風呂は若返りの湯でも知られ、美しい肌を作ると評判。〈第一源泉〉高温【泉質】カルシウム・ナトリウム・塩化物硫酸塩泉（低張性弱アルカリ性高温泉）【適応症】神経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節のこわばり、痔疾、冷え性、慢性皮膚病など〈第二源泉〉低温【泉質】カルシウム・ナトリウム・塩化物硫酸塩泉（低張性弱アルカリ性高温泉）【適応症】神経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節のこわばり、うちみ、くじき、慢性消化器病、痔疾、冷え性、病後回復期など,,京都丹後鉄道宮豊線「小天橋」駅から車で5分山陰近畿自動車道野田川大宮道路「京丹後大宮」ICから府道651号～国道312号～府道17号～国道178号,,,久美浜町観光総合案内所,0772-82-1781,,,,,2009-07-13,2019-03-08,源泉
