全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
402036,,000000000021,久留米市,久留米城跡（篠山城）,クルメジョウシ（ササヤマジョウ）,,,402036,52000,福岡県久留米市篠山町444,福岡県,久留米市,篠山町,444,,33.328626,130.5080616,,,,,,,,,江戸時代の久留米藩、約250年間を治めた有馬氏の居城跡で、その昔は笹原城の名で呼ばれていました。今は平山城づくりの本丸跡が残され、見事な石垣や正面側の内濠に往時の雄姿をしのぶことができます。　昭和58年3月19日県指定文化財となっています。,,,,,,,,,,,,,,,,,,,,,,,,,,,830-0021,,,https://welcome-kurume.com/spots/detail/40355fc2-39ee-45a3-beb2-e48ea4c26f91,
402036,,000000000022,久留米市,青木繁旧居,アオキシゲルキュウキョ,,,402036,54000,福岡県久留米市荘島町431,福岡県,久留米市,荘島町,431,,33.31265121,130.505832,,,,,,,,,わが国近代絵画の歴史の中で一際あざやかな光を放つ天才画家・青木繁。その青木が少年期を過ごし、豊かな芸術の才能を育んだふるさとの家が復元整備され、一般公開しています。 漆喰の壁が緑に映える静かなたたずまいで、内部には青木の実像にせまる資料や写真パネルなどを展示しています。,,,,,,,,,,,,,,,,,,,,,,0942-39-3575,,,,,830-0042,,,https://welcome-kurume.com/spots/detail/629317d8-c309-4225-91a8-eb08c3219ad5,
402036,,000000000023,久留米市,坂本繁二郎生家,サカモトハンジロウセイカ,,,402036,41000,福岡県久留米市京町224-1,福岡県,久留米市,京町,224-1,,33.3199001,130.4990456,,,,,,,,,市内に唯一現存する武家屋敷として貴重な歴史遺産で、久留米市指定有形文化財に指定されています。また、繁二郎の親友の青木繁が居候した茶室も復元し、彼らが描いたといわれる襖絵（複製）も展示しています。,,,,,,,,,,,,,,,,,,,,,,0942-35-8260,,,,,830-0028,,,https://welcome-kurume.com/spots/detail/c21f2735-8e2e-4298-9e1e-f1b05022d267,
402036,,000000000024,久留米市,安国寺・甕棺墓群,アンコクジ・カメカンボグン,,,402036,180001,福岡県久留米市山川神代1丁目5-21,福岡県,久留米市,山川神代1丁目,5-21,,33.32208785,130.5609296,,,,,,,,,臨済宗南禅寺派の末流で、寺伝によれば足利直義によって室町初期1339年の創建といわれています。国指定の甕棺墓群には、甕棺墓111基・祭祀土坑17基など、約5400㎡の範囲で、弥生時代の精神文化や生活様式を復元する上で極めて貴重な遺跡です。,,,,,,,,,,,,,,,,,,,,,,,,,,,839-0811,,,,
402036,,000000000025,久留米市,北野天満宮の大樟,キタノテンマングウノオオクス,,,402036,35000,福岡県久留米市北野町中3267,福岡県,久留米市,北野町中,3267,,33.34358694,130.5844968,,,,,,,,,根元周囲は22.0メートル、枝張りは東へ11.0メートル、樹高17.5メートルを測ります。その大きさにも圧倒されますが、特に地上2.5メートルより二股となり、根元のふくらみは顕著で、その特異性を誇っています。 福岡県指定天然記念物。,,,,,,,,,,,,,,,,,,,,,,0942-78-2140,,,,,830-1113,,,https://welcome-kurume.com/spots/detail/3c2e4fea-459f-4f4f-b0db-cb7d1ca2e020,
402036,,000000000026,久留米市,千光寺の紫陽花,センコウジノアジサイ,,,402036,183000,福岡県久留米市山本町豊田2287,福岡県,久留米市,山本町豊田,2287,,33.30619203,130.5951002,,,,,,,,,日本最古の禅寺の一つと伝えられる、龍護山千光寺。境内には約40種・約7000株のあじさいが植えられています。6月の「あじさい祭り」は、多くの観光客でにぎわいます。,,,,,,,,,,,,,,,,,,,,,,0942-44-1434,,,,,839-0827,,,https://welcome-kurume.com/spots/detail/86303b27-25ca-4d49-b403-5327e691b17d?lang=ja,
402036,,000000000027,久留米市,柳坂曽根のハゼ並木,ヤナギサカソネノハゼナミキ,,,402036,183000,福岡県久留米市山本町豊田,福岡県,久留米市,山本町豊田,,,33.312494,130.591521,,,,,,,,,昭和39年5月県の天然記念物に指定された櫨並木で、南北約1.1kmに現在約200本が現存します。 青木繁は「わが国は 筑紫の国や　白日別　母います国　櫨多き国」と詠んでいます。また、新・日本街路樹100景にも選ばれています。,,,,,,,,,,,,,,,,,,,,,,,,,,,839-0827,,,https://welcome-kurume.com/spots/detail/f73e07d1-3df3-4494-8817-4fe6e8da5844,
402036,,000000000028,久留米市,コスモス街道,コスモスカイドウ,,,402036,,福岡県久留米市北野町,福岡県,久留米市,北野町,,,33.33948,130.579268,,,,,,,,,未来にのこしたい日本の花風景「池坊花逍遥100選」に認定された「コスモス街道」。10月の開花期には陣屋川の堤防約3.5キロメートルに渡って約50万本のコスモスが咲き誇ります。コスモスフェスティバル期間中は、約1.4キロメートル区間 が歩行者専用道路になります。また、北野天満宮横の駐車場ではレンタサイクルの貸し出し（有料）もあります。コスモス開花期：10月（見頃は10月上旬～中旬）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://welcome-kurume.com/spots/detail/4fd15c2f-7edd-4021-a852-cfa069c3d49d,
402036,,000000000029,久留米市,梅林寺外苑の梅,バイリンジガイエンノウメ,,,402036,41000,福岡県久留米市京町209,福岡県,久留米市,京町,209,,33.3231616,130.4997028,,,,,,,,,梅林寺は、その地に梅林があるので梅林寺と名づけられたのではありません。 関が原の戦いで功を為した有馬豊氏公は久留米の土地を与えられ、当時有馬家の領土丹波篠山にあった瑞厳寺（ずいがんじ）を移建し、その名を父則頼公の戒名「梅林院殿」にちなんで「梅林寺」としました。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,830-0028,,,https://welcome-kurume.com/spots/detail/4ec3b2dd-9c8e-49e5-86bc-3075af7d95b4,
402036,,000000000030,久留米市,永勝寺,エイショウジ,,,402036,183000,福岡県久留米市山本町豊田2155,福岡県,久留米市,山本町豊田,2155,,33.30330999,130.5920112,,,,,,,,,創建は天武天皇9（680）年といわれ、本尊は薬師如来様です。皇后の病気を平癒するために祈願されたとされ、「出雲の一畑」「伊予の山田」と共に日本三大薬師の一つに数えられています。境内には、柳坂の地名起源を思わせる推定樹齢200年以上の「アカメヤナギ」（市指定天然記念物）の大木、「ケンポ梨」（市指定天然記念物）などがあります。,,,,,,,,,,,,,,,,,,,,,,0942-44-1386,,,,,839-0827,,,https://welcome-kurume.com/photos/detail/139e8836-77e3-47ac-bb6c-4423a5dd261d,
402036,,000000000031,久留米市,大善寺玉垂宮,ダイゼンジタマタレグウ,,,402036,88000,福岡県久留米市大善寺町宮本1463-1,福岡県,久留米市,大善寺町宮本,1463-1,,33.275733,130.474288,,,,,,,,,国の重要無形民俗文化財で、日本三大火祭りの一つである鬼夜が行われる玉垂宮は玉垂命、八幡大神、住吉大神が祀られています。社宝に「絹本著色玉垂宮縁起」2幅（重要文化財）があります。,,,,,,,,,,,,,,,,,,,,,,0942-27-1887,,,,,830-0073,,,https://welcome-kurume.com/spots/detail/486dfa81-12d9-43d4-89b5-e382f13d3c4d,
402036,,000000000032,久留米市,梅林寺,バイリンジ,,,402036,41000,福岡県久留米市京町209,福岡県,久留米市,京町,209,,33.3231616,130.4997028,,,,,,,,,JR久留米駅のすぐ裏手、筑後川べりの丘に堂々たる伽藍をみせているのが、臨済宗妙心寺派の梅林寺です。九州の代表的な修行道場として知られる古刹で、また久留米藩主有馬氏菩提寺となった寺です。,,,,,,,,,,,,,,,,,,,,,,0942-32-2565,,,,,830-0028,,,https://welcome-kurume.com/spots/detail/4ec3b2dd-9c8e-49e5-86bc-3075af7d95b4,
402036,,000000000033,久留米市,遍照院,ヘンジョウイン,,,402036,120000,福岡県久留米市寺町56,福岡県,久留米市,寺町,56,,33.31897928,130.5197914,,,,,,,,,明治維新の先達、高山彦九郎が眠る遍照院。この高山彦九郎の墓の脇で、四季の緑豊かなたたずまいを感じさせる純日本式の庭園が、遍照院庭園です。この庭園は当時奈良国立文化財研究所におられた森薀（もりおさむ）工学博士の設計によるもので、王朝風のたたずまいを入れてあります。,,,,,,,,,,,,,,,,,,,,,,0942-32-8794,,,,,830-0014,,,https://welcome-kurume.com/spots/detail/0bd89e5f-c35c-4c98-99eb-c06321864c93,
402036,,000000000034,久留米市,若宮八幡宮,ワカミヤハチマングウ,,,402036,45000,福岡県久留米市草野町吉木2611,福岡県,久留米市,草野町吉木,2611,,33.30922896,130.6258433,,,,,,,,,文治3年（1187）に分霊を勧請したもので若宮八幡宮縁起二幅、宋風狛犬などが保存されています。なお2年に1度（西暦奇数年）9月の第2土曜と日曜に行われる御神幸祭は市指定無形民俗文化財（昭和59年6月29日市指定）です。,,,,,,,,,,,,,,,,,,,,,,0942-47-2498,,,,,839-0836,,,https://welcome-kurume.com/spots/detail/bda2b636-3493-4b5c-9a84-68b3185d3aa6,
402036,,000000000035,久留米市,北野天満宮,キタノテンマングウ,,,402036,35000,福岡県久留米市北野町中3267,福岡県,久留米市,北野町中,3267,,33.34358694,130.5844968,,,,,,,,,天喜2年（1054年）に創建されました。境内には県の天然記念物に指定されている樹齢900年の大樟があります。祭神、菅原道真公とカッパについての伝説もあり、その伝説を証明するかのように、現在でも「カッパの手」が天満宮の宝物として大事に保管されています。毎年、10月の第3日曜日には県の無形文化財に指定されている、秋祭り「おくんち」が行われます。,,,,,,,,,,,,,,,,,,,,,,0942-78-2140,,,,,830-1113,,,https://welcome-kurume.com/spots/detail/8631a318-35fc-4e7c-9471-f6a03260c0dd,
402036,,000000000036,久留米市,石垣山観音寺,イシカキザンカンノンジ,,,402036,95000,福岡県久留米市田主丸町石垣275,福岡県,久留米市,田主丸町石垣,275,,33.330544,130.708223,,,,,,,,,和銅元年元明天皇の詔命で行基菩薩によって開創されました。今もなお多くの寺宝を残し、2月には寺内にある樹齢約350年のハルサザンカを祝う「さざんか祭り」が行なわれます。,,,,,,,,,,,,,,,,,,,,,,0943-72-3490,,,,,839-1212,,,https://welcome-kurume.com/spots/detail/3f67e79f-7324-49e8-9075-0bd10767f6ba,
402036,,000000000037,久留米市,千光寺,センコウジ,,,402036,183000,福岡県久留米市山本町豊田2287,福岡県,久留米市,山本町豊田,2287,,33.30619203,130.5951002,,,,,,,,,"約7,000本のあじさいが植えられ、「あじさい寺」として親しまれている龍護山千光寺（曹洞宗）は、耳納北麓の山辺の道（旧日田街道）沿いに、宮園地区から山閧ﾉ入ったところにあります。あじさいの開花時期に合わせて、「あじさいまつり」が開催されます。",,,,,,,,,,,,,,,,,,,,,,0942-44-1434,,,,,839-0827,,,https://welcome-kurume.com/spots/detail/86303b27-25ca-4d49-b403-5327e691b17d,
402036,,000000000038,久留米市,月読神社,ツクヨミジンジャ,,,402036,103000,福岡県久留米市田主丸町田主丸552-2,福岡県,久留米市,田主丸町田主丸,552-2,,33.344413,130.691215,,,,,,,,,月読神社は、目の神様や先が見えるという開運の神様といわれ人々に親しまれています。毎年1月23日～25日に開催されるお祭り「三夜さま」では、縁日や植木市もあり、商売繁盛や家運の盛隆を願う大勢の参詣者で賑わいます｡,,,,,,,,,,,,,,,,,,,,,,0943-72-4956,,,,,839-1233,,,https://welcome-kurume.com/spots/detail/ff336925-60aa-47c3-b745-a80871fd1129,
402036,,000000000039,久留米市,善導寺,ゼンドウジ,,,402036,80000,福岡県久留米市善導寺町飯田550,福岡県,久留米市,善導寺町飯田,550,,33.33000914,130.6037748,,,,,,,,,開山は承元2年（1208）といわれ、浄土宗の開祖法然の高弟聖光上人が、筑後国在国司草野永平を大檀那として建立した草野家の菩提寺で大本山の格式をもった古刹です。山門を進むと右手に樟の巨木（県指定天然記念物）が見られ、左手には大梵鐘（県指定文化財）があって、荘厳な境内ぶりをうかがうことができます。奥の三祖堂には、木像の善導大師坐像と大紹正宗国師（聖光上人）坐像が安置されていますが、いずれも重要文化財です。中でも紺紙金泥観普賢経（重要文化財）や本朝祖師伝絵戟（県指定文化財）などが特に知られ、新たに本堂と大門が国の重要文化財に指定されました。,,,,,,,,,,,,,,,,,,,,,,0942-47-1006,,,,,839-0824,,,https://welcome-kurume.com/spots/detail/8814f95b-77c0-4555-99c2-b272af9ae3b2,
402036,,000000000040,久留米市,須佐能袁神社,スサノオジンジャ,,,402036,42000,福岡県久留米市草野町草野443-2,福岡県,久留米市,草野町草野,443-2,,33.31898252,130.6381917,,,,,,,,,建久8年（1197）時の権力者・草野永平の創建といわれ、旧名草野祇園社です。本殿・拝殿・楼門がいずれも県指定文化財であり、中でも特に見事な彫刻がほどこされた楼門は圧巻です。また、権現造りの社殿は、荘厳さの中に美しくたたずんでいます。,,,,,,,,,,,,,,,,,,,,,,0942-47-0531,,,,,839-0835,,,https://welcome-kurume.com/spots/detail/2c09e113-beab-4ed0-8fd2-e394a9866fae,
402036,,000000000041,久留米市,成田山　久留米分院,ナリタサン　クルメブンイン,,,402036,18000,福岡県久留米市上津町1386-22,福岡県,久留米市,上津町,1386-22,,33.285022,130.535135,,,,,,,,,身代り不動尊で全国的に知られています千葉県の大本山成田山新勝寺から御分霊を招請して開山、「宝石開運門」建立についで、慈母大観音像が建立されています。この大観音像は、高さ62メートルの鉄筋コンクリート造りです。眉間の白毫は30センチの金の延板上に、3カラットのダイヤモンド18個が、また、胸のﾞ蕫竄には水晶と眷翠（56個）を配し、13メートルの幼児を抱いています。,,,,,,,,,,,,,,,,,,,,,,0942-21-7500,,,,,830-0052,,,https://welcome-kurume.com/spots/detail/57e3ef12-87e3-483b-8afe-4a6865fc3079,
402036,,000000000042,久留米市,高良大社,コウラタイシャ,,,402036,153000,福岡県久留米市御井町1,福岡県,久留米市,御井町,1,,33.30161616,130.5658052,,,,,,,,,耳納連山の最西端、標高312メートルの高良山に鎮座するのが、旧国幣大社で筑後一の宮である高良大社です。現在の本殿、幣殿、拝殿は、久留米藩主有馬頼利（三代）の建立で、いずれも重要文化財です。また、社宝に「紙本墨書平家物語」（重要文化財）、「絹本著色高良大社縁起」（県文化財）などがあり、山中の孟宗金明竹（国の天然記念物）や高良山神眥石（国指定文化財。史跡）なども貴重なものとして保存されています。,,,,,,,,,,,,,,,,,,,,,,0942-43-4893,,,,,839-0851,,,https://welcome-kurume.com/spots/detail/8b8be88c-7e83-4b47-ad84-382e5d64b622,
402036,,000000000043,久留米市,水天宮,スイテングウ,,,402036,79000,福岡県久留米市瀬下町265-1,福岡県,久留米市,瀬下町,265-1,,33.320355,130.496022,,,,,,,,,水天宮は全国水天宮の総本宮です。 水にゆかりの社として海運守護神となり河童伝説との結びつきも伝えられ、信心を集めました。 今は安産の神様として知られています。,,,,,,,,,,,,,,,,,,,,,,0942-32-3207,,,,,830-0025,,,https://welcome-kurume.com/spots/detail/19a6c747-55ba-4f10-b46e-7413b35a5f31,
402036,,000000000044,久留米市,草野の町並み,クサノノマチナミ,,,402036,,福岡県久留米市草野町,福岡県,久留米市,草野町,,,,,,,,,,,,,草野町は中世の豪族・草野氏の城下町として栄えた場所です。江戸時代には、豊後街道の宿駅としてもにぎわいました。多くの寺社仏閣のほか、明治・大正時代に建てられた和洋折衷の建物も連なり、風情豊かな町並みです。「美しい日本の歩きたくなる道500選」にも、山苞の道とともに選ばれました。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://welcome-kurume.com/spots/detail/40afc06d-81c7-4555-bf36-7f0b91148cec,
