全国地方公共団体コード,ID,"地方
公共団体名",名称(必須）,名称_カナ,名称_通称,名称_英語,文化財分類(必須）,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度(必須）,経度(必須）,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,最終更新履歴
273619,273619CP0011,泉南郡熊取町,降井家のくろがねもち,フルイケノクロガネモチ,,,"町指定
天然記念物",,,273619,,大阪府泉南郡熊取町大久保中2-6-13,大阪府,泉南郡熊取町,大久保中,2-6-13,,34.401907,135.343888,標高,26.7,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,本,,,1996/3/31,,,,,,,,,中盛彬が著した『先代考拠略』に延享2年（1745年）、「もちの木」が存在していたことが記されています。年代がわかる個人所有の樹木としては貴重なものです。,,,,2025/6/23
273619,273619CP0012,泉南郡熊取町,石造地蔵菩薩立像,セキゾウジゾウボサツリュウゾウ,,,"町指定
美術工芸品",,,273619,,大阪府泉南郡熊取町五月ヶ丘1-4118-2,大阪府,泉南郡熊取町,五月ヶ丘,1-4118-2,,34.3991759,135.3686887,標高,63.7,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,躯,,,1997/3/5,,,,,,,,,建武4年(1337)につくられた本町で一番古い和泉砂岩製の石仏です。堺市善龍寺にある建武2年(1335)の地蔵菩薩立像（府規則指定重要美術品）と像容が酷似し、同一工人の作と考えられています。,,,,2025/6/23
273619,273619CP0013,泉南郡熊取町,大久保Ｅ遺跡出土土器,オオクボイーイセキシュツドドキ,,,"町指定
有形文化財",,教育・子どもセンター,273619,,大阪府泉南郡熊取町五門東2-3-5,大阪府,泉南郡熊取町,五門東,2-3-5,教育・子どもセンター,34.39824,135.35642,階数,1,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,161,点,,熊取町教育委員会,1999/2/3,,,,,,,,,大久保E遺跡は、熊取駅前土地区画整理事業に伴って発見され、発掘調査では古墳時代初頭頃と考えられる数千点の土器片が出土しました。人々が集団で生活したことを示す本町最古の資料で、貴重であり残存状態の良い土器を中心に161点を指定しました。,,,,2025/6/23
273619,273619CP0014,泉南郡熊取町,"旧中林綿布工場
汽缶室・受電室・事務所棟","キュウナカバヤシメンプコウジョウ
キカンシツ・ジュデンシツ・ジムショトウ",,,"町指定
建造物",,,273619,,大阪府泉南郡熊取町五門西1-10-1,大阪府,泉南郡熊取町,五門西,1-10-1,熊取交流センター,34.40106,135.34975,標高,28.7,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,3,棟,,熊取町,2003/3/3,月火水木金土日,9:00,22:00,"毎月第4水曜日（祝日の場合は翌日）は、不可。
休館日以外の水曜日は、17：30まで。
12/29～1/3までは不可。",,,,,昭和3年(1928年)に建てられた煉瓦造の綿布工場（現在の煉瓦館）です。最新鋭の織機を導入するなど泉州の機業界を牽引してきた工場といえ、昔の名残を残す汽かん室・受電室・事務所棟が町文化財です。平成19年には、経済産業省の「近代化産業遺産」にも認定されました。,,,,2025/6/23
273619,273619CP0015,泉南郡熊取町,小谷の文政おかげ灯籠,オダニノブンセイオカゲトウロウ,,,"町指定
有形民俗文化財",,,273619,,大阪府泉南郡熊取町小谷南3-1220,大阪府,泉南郡熊取町,小谷南,3-1220,興蔵寺,34.39466,135.37661,標高,77.3,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,基,,,,,,,,,,,,大阪府下で一番南に位置する文政13年(1830年)のおかげ灯籠で、泉州地域の伊勢信仰を知るうえで貴重な文化財です。江戸時代の伊勢神宮への民衆の集団参拝を「おかげ参り」といい、それを記念して建てられました。,,,,2025/6/23
273619,273619CP0016,泉南郡熊取町,"熊取村誌関係資料
熊取郷土調査基本編・乾板写真・郷土資料調査・熊取村志原稿","クマトリソンシカンケイシリョウ
クマトリキョウドチョウサキホンヘン・カンパンシャシン・キョウドシリョウチョウサ・クマトリソンシゲンコウ",,,"町指定
美術工芸品",,熊取交流センター,273619,,大阪府泉南郡熊取町五門西1-10-1,大阪府,泉南郡熊取町,五門西,1-10-1,熊取交流センター,34.40106,135.34975,階数,1,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,,,,熊取町教育委員会,2023/2/10,,,,,,,,,"熊取村誌は、昭和初期に熊取尋常高等小学校の教員らが中心となり村内の史資料の調査、収集、編纂を行い、昭和11年（1936）に刊行されました。成果物としての『熊取郷土調査 基本編』には郷土の歴史、自然をはじめ産業や村の生活などきわめて幅広く、また当時の熊取の風景などの写真も多く掲載されています。
その他、この成果物を抜粋・編集した『熊取村志』、これらの稿本とみられる「郷土調査資料」が残されており、当時の熊取の史資料地誌を収集記録し、産業や社会生活の実態をも示す貴重な資料といえます。",,,,2025/6/23
273619,273619CP0017,泉南郡熊取町,旧熊取村道路元標,キュウクマトリムラドウロゲンピョウ,,,"町指定
史跡",,熊取交流センター,273619,,大阪府泉南郡熊取町野田1-2138-1,大阪府,泉南郡熊取町,野田,1-2138-1,,34.39911,135.35666,標高,42,072-453-0600,,shougaigakushuu-suishin@town.kumatori.lg.jp,,,,1,基,,熊取町,2023/2/10,,,,,,,,,"道路元標は道路の起点、終点を示す道路の附属物で、大正8年（1919）公布の旧道路法に規定され、各市町村に1箇所、設置されました。現行道路法にも規定は残るものの設置の義務はなく、その多くが撤去されています。
旧熊取村の道路元標は、当時の熊取村役場前の府道水間佐野線（現国道170号）に昭和4年（1929）11月に設置されたものです。",,,,2025/6/23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
