anchor_id,city_id,city_name,anchor_name,anchor_type,official_source_type,official_strength,mcp_supply_strength,mcp_product_count,gap_score,classification,reason,top_product_titles,analysis_scope
official-hiroshima-facility-17,jp-hiroshima,히로시마,公益財団法人放射線影響研究所,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-18,jp-hiroshima,히로시마,本川小学校平和資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-19,jp-hiroshima,히로시마,袋町小学校平和資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-20,jp-hiroshima,히로시마,広島市健康づくりセンター健康科学館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-21,jp-hiroshima,히로시마,広島市江波山気象館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-22,jp-hiroshima,히로시마,頼山陽史跡資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-23,jp-hiroshima,히로시마,広島市現代美術館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-24,jp-hiroshima,히로시마,広島市郷土資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-25,jp-hiroshima,히로시마,広島大学医学部医学資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-26,jp-hiroshima,히로시마,ヌマジ交通ミュージアム（広島市交通科学館）,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-27,jp-hiroshima,히로시마,泉美術館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-28,jp-hiroshima,히로시마,広島市まんが図書館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-29,jp-hiroshima,히로시마,広島市まんが図書館あさ閲覧室,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-30,jp-hiroshima,히로시마,広島市水産振興センター(魚と漁業の資料展示室),place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-31,jp-hiroshima,히로시마,広島市水道資料館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-33,jp-hiroshima,히로시마,おりづるタワー,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-131,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」 （江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-132,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」 （江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-133,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-134,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-490,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-491,jp-hiroshima,히로시마,【サイエンスショー】「びっくり実験大集合！」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-574,jp-hiroshima,히로시마,令和6年度第2回広島市医療安全推進協議会の開催について（お知らせ）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-695,jp-hiroshima,히로시마,体験型のイベント「防災まなんで あそ防火！」を開催します,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-922,jp-hiroshima,히로시마,女性のための健康セミナー,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-994,jp-hiroshima,히로시마,【オンライン限定】令和６年度広島市発達障害者支援講演会の開催について,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1023,jp-hiroshima,히로시마,広島城アカデミック講座・生涯学習支援講座「鉄と広島デルタ、そして広島城」（広島城）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1093,jp-hiroshima,히로시마,【小学生工作教室】 「リモコンアストラムライン」（ヌマジ交通ミュージアム）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1109,jp-hiroshima,히로시마,【ゲーム＆実験体験】（ヌマジ交通ミュージアム）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1488,jp-hiroshima,히로시마,【みんなで遊ぼう！ビークルパーク】クラフト体験（ヌマジ交通ミュージアム）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1489,jp-hiroshima,히로시마,ネイチャーサイエンス「江波山で春をさがそう！」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1490,jp-hiroshima,히로시마,【サイエンスワークショップ】「スライダー貯金箱」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1491,jp-hiroshima,히로시마,【サイエンスショー】「パチパチ静電気のひみつ」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-1499,jp-hiroshima,히로시마,【大人向け教室】「大人の染色体験」（広島市郷土資料館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-2224,jp-hiroshima,히로시마,【安芸区】レディース健康教室を開催します,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-2383,jp-hiroshima,히로시마,2025男女共同参画セミナーの開催,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-2547,jp-hiroshima,히로시마,【サイエンスワークショップ】「フェルトボール」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-2549,jp-hiroshima,히로시마,【企画展】「ボールでチャレンジ！科学あそび広場」（江波山気象館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-2595,jp-hiroshima,히로시마,[ 少年非行対策セミナー]少年非行問題に関するセミナーを開催します,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-3018,jp-hiroshima,히로시마,令和8年広島市二十歳を祝うつどいの開催予定について,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-3892,jp-hiroshima,히로시마,企画展「実は広島3―日用品編―」（広島市郷土資料館）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-4008,jp-hiroshima,히로시마,「第34回市民文芸」に掲載する作品を募集しています,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-4127,jp-hiroshima,히로시마,【企画展】「広島城下のくらし拝見」（広島城）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-4474,jp-hiroshima,히로시마,成人歯科相談日,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-8669,jp-hiroshima,히로시마,佐伯区食育講座（0歳児の保護者向け）,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-7,jp-hiroshima,히로시마,カメルーン関係者と似島小・中学生とのバウムクーヘン交流会を開催します,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-18,jp-hiroshima,히로시마,3月4日は「バウムクーヘンの日」～大切なあの人に贈る、とっておきのバウムクーヘン～ イベントを開催します,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-event-89,jp-hiroshima,히로시마,男女共同参画セミナーの開催,event,official_event,0.75,0.0,0,0.75,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
