行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
第15回特別展　大貯金箱展　はじめての博物館,2024/7/7,9:00,2024/7/7,17:00,赤ちゃん連れのご家族など、泣いたり騒いで迷惑をかけてしまうかもしれないと感じている方などを対象とした開館日。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4698,134.7676
そよかぜ朗読会,2024/7/7,10:30,2024/7/7,,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
豊岡市ワークイノベーション推進会議　総会・懇親会,2024/7/8,14:30,2024/7/8,20:00,"2018年に16事業所からスタートした豊岡市ワークイノベーション推進会議の会員は、114事業所までに増え、働きやすく、働きがいのある職場づくりに取り組む事業所の輪が広がっています。持続可能な組織づくり、地域づくりに向けたヒントを得るために、講演会、意見交換、ネットワーキングの場を設けます。
１．総会　14:30～
　・会長あいさつ
　　　株式会社東豊精工　代表取締役社長　岡本慎二さん
　・新体制の発表
　・講演会
　　　講師：株式会社ポーラ　代表取締役社長　及川美紀さん
　　　テーマ：「可能性の扉をひらく　""個性""で活躍できる多様性に開かれた社会へ」
 　・企画委員会によるプログラム
２．懇親会　18:00～",アール・ベル・アンジェ豊岡,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1008794/1019245/1029477.html,豊岡,35.5472,134.8138
ワークイノベーションセミナー　「ウェルビーイング」向上のヒント,2024/7/8,9:30,2024/7/8,12:00,"性別に関わらず、家事や育児、介護などのライフとワークのバランスで悩む方が増えています。本セミナーでは、個人とチームの力を最大限に引き出し「ウェルビーイング」を向上させるヒントを学びます。
・講演 (講師：塚越学さん)
　(1) そもそもウェルビーイングとは何？
　(2) 自分自身のウェルビーイング向上のヒント
　(3) 職場や職場や家族のチーム力向上に向けたウェルビーイング実践のヒント
・ワークショップ「豊岡流／ラク家事・育児コミュニケーションシートを使ってみよう！」",豊岡市役所3階 庁議室　,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029623.html,豊岡,35.5446,134.82
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/8,14:00,2024/7/8,15:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,34.6469,134.9992
第34回但馬ドーム杯グラウンド･ゴルフ交流大会決勝,2024/7/10,,2024/7/10,,但馬ドームグラウンド･ゴルフクラブ会員を対象とした交流大会,但馬ドーム ドーム棟グラウンド,全但バス但馬ドーム ,0796-45-1900,,,日高,35.4937,134.6869
豊岡ノーマイカーデー,2024/7/10,0:00,2024/7/10,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
但馬ドームセンター棟ギャラリー,2024/7/12,,2024/8/8,,「つくるよろこび展」　　出展団体：コミュニティこくふ　つくるよろこび展実行委員会,但馬ドーム　センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4938,134.6868
マキシム・キュルヴェルス　アーティストトーク「演技の理論と実践」,2024/7/13,14:00,2024/7/13,,フランスを拠点に活躍する気鋭の演出家マキシム・キュルヴェルスが、自らの演劇創作について紹介するアーティストトーク。終了後には、フランスワインを楽しむ交流会を開催予定。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.629,134.7996
「家庭とお金と未来」のセミナー,2024/7/13,10:00,2024/7/13,12:30,収入と支出のバランス設計をはじめ貯蓄計画、教育費、年金、保険等の「ライフステージにあわせたマネープランニングの大切さ」などについて但馬銀行の職員が丁寧にご説明します。また今話題のNISAやiDeCoを活用した資産づくりの方法についてもご紹介します。さらに豊岡流／家事・育児コミュニケーションシートを使った体験もあわせて実施します。理想の暮らし、家事・育児についてパートナーと話し合うお手伝いをします。,WACCU TOYOOKA (アイティ4階) 学習室,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029633.html,豊岡,35.5446,134.8147
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/13,10:30,2024/7/13,11:30,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
高校男女ソフトボール近畿大会,2024/7/13,,2024/7/14,,近畿各ブロックで勝ち抜いた高校男女ソフトボール約24チームが集い、近畿のトップを競う。,全但バス但馬ドーム 神鍋高原内グラウンド,日高神鍋観光協会 ,0796-45-1900,,,日高,35.4937,134.6869
ヒヌマイトトンボ観察会,2024/7/14,9:30,2024/7/14,11:30,ヒヌマイトトンボを観察,桃島池,コウノトリ文化館,0796-23-7750,,,城崎,35.6304,134.8109
コウノトリの生息を支える市民交流会,2024/7/15,14:00,2024/7/15,17:00,"・基調講演「コウノトリがつくる明日の日本～本当の豊かさを共有するために～」村田浩一氏
・講演「コウノトリ市民科学の現状と展望」安川雅紀氏
・報告①「全国の子育てについて」永瀬倖大氏
・報告②「各地からの報告」全国・韓国の方より",あさぎり荘,日本コウノトリの会,0796-20-8560,,,城崎,35.6276,134.8153
平田オリザ先生の演劇入門ワークショップ,2024/7/15,10:00,2024/7/15,17:00,中・高校生の方対象の演劇ワークショップ。演劇の基礎を学びながら、テキストを使った演技指導が受けられます。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,場所：豊岡市民プラザ/ほっとステージ,,豊岡,35.5445,134.8149
第221回サロンコンサート,2024/7/15,12:30,2024/7/15,13:15,「ボンボヤーヤandおぐねぇ」によるハーモニカ･ギター･キーボードコンサート,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
2024年度公開講座 第２回出石の歴史を楽しむ,2024/7/16,19:30,2024/7/16,21:00,渡来の神　天日槍（あめのひぼこ）について、出石神社宮司の長尾家典氏をお招きし、対談形式で解説していただきます。,出石庁舎２階　大会議室,出石庁舎,0796-21-9025,,,出石,35.4614,134.8751
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/17,14:00,2024/7/17,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
小学生演劇ワークショップ,2024/7/18,13:00,2024/7/20,17:00,"はじめての演劇にトライ！小学３年生～６年生の方対象の３日間連続演劇ワークショップ。
最終日に「とよおかアート縁日」で成果発表をします。",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/ほっとステージ
各日13：00～17：00",,豊岡,35.5445,134.8149
コウノトリふれ愛コンサート,2024/7/20,17:30,2024/7/20,0:00,毬穂えりなさんと友麻亜里さんのコンサート,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
夏のおはなし会　～すてきな絵本との出会い～,2024/7/20,10:30,2024/7/20,,えほんの読み聞かせの後、みんなで工作をたのしみます。,図書館本館,図書館本館,0796-23-6151,,,豊岡,37.568,126.9978
としょかん映画会,2024/7/20,10:30,2024/7/20,,『かがみの孤城』(2022年/116分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
とよおかアート縁日,2024/7/20,11:00,2024/7/20,16:00,豊岡の文化芸術の見本市となる、参加型体験イベント。市内文化施設やアーティストなどによるワークショップコーナー、ステージ発表などを実施する。,豊岡市民プラザ,文化・スポーツ振興課,0796-23-1160,,,豊岡,35.5445,134.8149
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/21,10:30,2024/7/21,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,城崎,35.541,134.8219
田んぼの学校,2024/7/21,9:30,2024/7/21,12:00,小川の生きもの探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
第39回　プラザ寄席「ふれ愛亭」,2024/7/21,13:30,2024/7/21,,たんたん落語笑年団・たんたん落語会による寄席。創作楽器による音曲もお楽しみに！,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,場所：豊岡市民プラザ/ほっとステージ,http://platz-npo.com/wp/event/%E3%80%94%E3%81%BB%E3%81%A3%E3%81%A8%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8%E3%80%95%E3%81%B5%E3%82%8C%E6%84%9B%E4%BA%AD,豊岡,35.5445,134.8149
としょかん映画会,2024/7/21,13:30,2024/7/21,,『かがみの孤城』(2022年/116分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
読書感想文を書いてみよう,2024/7/22,10:00,2024/7/22,12:00,読書感想文の書き方アドバイス,図書館出石分館,図書館出石分館,0796-21-9010,"8月2日に開催されるものと内容は同じです。
申し込み：7月1日～7月17日",,出石,35.4616,134.8752
夏休み本づくり教室,2024/7/25,13:30,2024/7/25,15:30,製本体験,図書館本館,図書館本館,0796-23-6151,申し込み：6月29日～7月14日,,豊岡,35.541,134.8219
神鍋Beer Night2024,2024/7/26,,2024/7/26,,"道の駅｢神鍋高原｣恒例のビアガーデン
全但バスに乗って神鍋へ!!

",道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4991,134.6752
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/26,10:30,2024/7/26,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
豊岡ノーマイカーデー,2024/7/26,0:00,2024/7/26,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
マキシム・キュルヴェルス『OKINA』試演会,2024/7/27,14:00,2024/7/27,,フランスを拠点に活躍する気鋭の演出家マキシム・キュルヴェルスが、日本人俳優や日仏翻訳家らと協働して創作する演劇作品の滞在制作。能の演目『翁』を題材に、落語を思わせる俳優の一人語りで描く新作の試演会。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
おっとろっしゃ！とよおかのものづくり９,2024/7/27,10:00,2024/7/28,15:00,ものづくり企業の技術や製品を使った子ども向けのものづくり体験や、ものづくり企業の展示等を行います。予約できる体験のほかにも、会場内では、たくさんのお楽しみ企画を予定しています！,豊岡稽古堂,豊岡市工業会事務局（豊岡市 環境経済課内）,0796-21-9024,,,豊岡,35.5442,134.8202
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/7/27,10:45,2024/7/27,11:45,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,34.6469,134.9992
第15回特別展　大貯金箱展　貯金箱のはなし,2024/7/27,13:30,2024/7/27,14:30,尼崎信用金庫、世界の貯金箱博物館の見通 勉館長をお招きして、貯金箱のあれこれをお聞きする。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4698,134.7676
多文化交流サロン,2024/7/27,13:30,2024/7/27,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,NPO法人にほんご豊岡あいうえお,0796-20-4037,,,豊岡,35.5559,134.8004
女子中高生向けプログラミング体験Camp,2024/7/28,10:00,2024/7/28,16:30,"プログラミングの楽しさを体験し、IT分野にも関心を持ってもらうきっかけにすることなどを目的に、女子中高生向けの「2024Waffle Camp（プログラミング体験Camp）」を開催します。
内容：HTMLやCSSなどの専門言語を使ったウェブサイトの制作体験、IT分野で活躍中の先輩女性からのキャリアトークなど。
※本体験Camp参加者の中から希望者を対象に、８月25日（日）13時～15時、㈱ピージェイ２階プログラミング教室でアプリ開発の基礎を体験するオンラインイベント「Waffle Club」を実施予定。国際アプリ開発コンペ「Technovation Girls」につなげていきます。",WACCU TOYOOKA(アイティ4階) 学習室 ,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,,豊岡,35.5446,134.8148
夏休み昆虫採集,2024/7/28,9:30,2024/7/28,11:30,"昆虫採集と標本の作り方指導
",コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
2024クリーンパーク北但祭り,2024/7/28,9:00,2024/7/28,13:00,"・施設を知ろう（DVD視聴）
・スタンプラリー（施設内外、竹林、ビオトープ）
・ヨーヨー釣り、スーパーボールすくい、わたがし、かき氷等
・避難所としての機能を知る（パーティション体験、非常食を食べる）",クリーンパーク北但,クリーンパーク北但,0796-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.5889,134.7275
認知能力・非認知能力を育てる 中国語母語教室,2024/7/28,10:00,2024/7/28,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
