行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
昆虫観察会,2024/9/8,9:30,2024/9/8,11:30,夏の昆虫を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
松葉湯,2024/9/8,,2024/9/8,,"9月の季節湯
",神鍋温泉ゆとろぎ,神鍋温泉ゆとろぎ,0796-45-1515,,,日高,35.4992,134.6753
第13回世界ジオパークトレイルラン2024,2024/9/8,,2024/9/8,,大自然の造形美を楽しみながら走るトレイルレース。距離は60km、40km、10km、6kmの4コース,但馬ドーム芝生広場（スタート・ゴール）,日高神鍋観光協会,0796-45-0800,アクトレップ（株）　06-6699-5000,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/9,14:00,2024/9/9,15:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
豊岡ノーマイカーデー,2024/9/11,0:00,2024/9/11,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
2024年度公開講座 第３回出石の歴史を楽しむ,2024/9/12,19:30,2024/9/12,21:00,国会で軍部を批判し、国会議員を除名となった斎藤隆夫。その斎藤を応援し続けた但馬の人々について、出石にある斎藤家を継ぐ、斎藤義規さんから対談形式でお話を伺います。,出石庁舎２階　大会議室,出石振興局地域振興課,0796-21-9025,,,出石,35.4614,134.8751
KIACレジデンス・セレクション2023→24：コーンカーン・ルーンサワーン『Mali Bucha: Dance Offering』,2024/9/13,18:00,2024/9/15,,タイの新世代の振付家コーンカーン・ルーンサワーンと一緒に、ダンス、拡張現実（AR）、仮想現実（VR）の融けあう観客参加型のパフォーマンスで、現実世界と仮想世界を横断しよう。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
事業承継 無料個別相談会,2024/9/13,11:00,2024/9/13,16:30,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡商工会議所（豊岡市大磯町1番79号　じばさんTAJIMA6階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡商工会議所　0796-22-4456,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,豊岡,35.5401,134.8257
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/14,10:30,2024/9/14,11:30,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
創作神楽『但東さいさい』,2024/9/15,17:00,2024/9/16,15:00,"　　豊岡演劇祭2024(Toyooka Theater Festival)
但東地域に残る農村歌舞伎を舞台に、オリジナル神楽とお祭りさながらの風景が立ち上がる。

　豊岡市の東端に位置して、三方を京都に囲まれている但東。山あいに美しい田畑が広がり、小さな集落が点在している地域です。
　そんな但東に点在する神社の境内には「農村歌舞伎舞台」が数多く現存。江戸時代から歌舞伎の旅公演や地域住民による地芝居でにぎわった名残りだとされる、木造の舞台機構です。また、古くから地域で言い伝えられてきた民話が多く、人々の精神と教養に影響を与えてきたことも但東地域の特徴です。
　境内に立ち並ぶ露店、拍手喝采に湧くお祭りさながらの神社…美しい山々と田園風景に抱かれた『但東さいさい』を体験ください。

公演①　9/15(日)17:00～19:00
公演②　9/16(月・祝)11:00～15:00

出演：烏丸ストロークロック × 但東の人々
構成・テキスト・演出：柳沼昭徳",日出（ひで）神社,豊岡演劇祭２０２４　実行委員会,0796-34-9525,,https://toyooka-theaterfestival.jp/program/9105/,但東,35.4703,134.9496
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/15,10:30,2024/9/15,11:30,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
市民演劇プロジェクト2024 地域と創る演劇 豊岡ここものがたりプロジェクト 『空き家』,2024/9/15,19:00,2024/9/16,,南河内万歳一座・座長内藤裕敬氏が豊岡を題材に書き下ろす、新作公演。関西を中心に活躍するプロの俳優と共演する、地域密着型の市民演劇プロジェクト。16日はアフタートークを予定。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
田んぼの学校,2024/9/15,9:30,2024/9/15,12:00,バッタ・イナゴ探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2024/9/15,10:00,2024/9/15,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
TOKYO　CATCH　BALL　CLUB　in　たじま,2024/9/16,11:00,2024/9/16,16:00,TOKYO　CATCH　BALL　CLUBキャプテンの古田敦也氏や元プロ野球選手など、参加する著名人と一緒にキャッチボールを楽しむことができるイベント。,全但バス　但馬ドーム,文化・スポーツ振興課,0796-21-9023,,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/18,14:00,2024/9/18,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
IPPO TOYOOKA　起業セミナー,2024/9/20,18:00,2024/9/20,20:00,"「おばちゃんのtake offのはなし」
生涯現役。60代からの挑戦　世界一予約が取れない宿を目指して！
起業家を講師に招き、実際の起業経験や地域での取組みについて紹介します。参加費は無料です。完全予約制・先着順ですので、事前にお申込みください。",コワーキングスペース FLAP TOYOOKA（豊岡市大磯町1番79号　じばさんTAJIMA5階）,豊岡市役所　環境経済課　経済政策係,0796-23-4480,"IPPO TOYOOKA
Eメール：ippo@pl-j.com",,豊岡,35.5398,134.8258
としょかん映画会,2024/9/20,10:30,2024/9/20,12:30,『嵐が丘』(1939年/104分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
としょかん映画会,2024/9/21,13:30,2024/9/21,15:30,『嵐が丘』(1939年/104分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
植物観察会,2024/9/22,9:30,2024/9/22,11:30,秋の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
玄武洞公園特別イベント「岩音2024 Vol.1」,2024/9/23,15:30,2024/9/23,19:30,"(1) トークイベント　　午後3時30分～4時30分

　　タイトル：～気候変動・地域社会・農業～

　　出演者：後藤正文(ASIAN KUNG-FU GENERATION)
　　　　　　中西悦子（パタゴニア日本支社 環境社会部 気候イニシアティブ アクティビズム・コーディネーター）

(2) 後藤正文 ライブ
　　午後6時30分～7時30分

(3) 玄武洞公園ライトアップ
　　午後7時～9時(予定)

　　注：ライブおよびライトアップはライブチケット購入者のみ観覧可

(4) 連携イベント　GLAマルシェ　　午後4時～6時30分

　　注：午後4時30分までの入園には観覧料が必要です。",玄武洞公園,豊岡市観光政策課,796219016,,https://toyooka-tourism.com/news/28251/,豊岡,35.5884,134.8047
里山森林公園を歩こう(対象：高校生以上),2024/9/23,9:00,2024/9/23,13:00,"・遊歩道やビオトープをトレッキングする
・生活に役立つ秋の植物を観察",クリーンパーク北但,クリーンパーク北但,0296-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.589,134.7271
女性のためのリーダーシッププログラム　第1回セミナー,2024/9/27,13:30,2024/9/27,16:30,"女性が職場で力を発揮するために必要なスキルをマインドセットを学ぶ、全2回の講座です。第1回セミナーを下記の通り開催します。
第1回「ロジカルシンキングを学び、自信を身に付けよう！」
講師：大嶋寧子さん　(人と仕事の研究者)
第1部：講義　職場のコミュニケーションを活性化するための知識を学ぶ
第2部：ワークショップ　リーダーシップを発揮するために「ロジカルシンキング」を身に付ける
",豊岡市役所　3階庁議室,多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1030566.html,豊岡,35.5449,134.8191
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/27,10:30,2024/9/27,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
豊岡ノーマイカーデー,2024/9/27,0:00,2024/9/27,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
豊岡みらいチャレンジ塾2024　第3回セミナー,2024/9/28,13:30,2024/9/28,16:30,"豊岡みらいチャレンジ塾は、メディアやシンクタンク、人材育成、NPOなどの分野で活躍するゲストと豊岡市内で活躍するロールモデル、仲間との対話を通して、思いをカタチにするために必要な知識とスキルを身につける女性のためのプログラムです。プログラムは全5回で、第3回のセミナーを下記の内容で開催します。
第3回「みらいを変える力を学ぼう① ～ロジカルシンキングを磨く～」
講師：大嶋寧子さん(人と仕事の研究者)
内容：周囲を巻き込み、動かすための思考力を磨きます。",豊岡市役所　3階庁議室,豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029688.html,豊岡,35.5445,134.8202
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/9/28,10:45,2024/9/28,11:45,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,35.4702,134.9499
全国中学校新人競漕大会,2024/9/28,,2024/9/29,,全国の中学１、２年生を対象としたローイング（ボート）の大会を円山川城崎漕艇場で開催する。,城崎ボートセンター,全国中学校新人競漕大会（豊岡大会）実行委員会事務局,796219023,,,城崎,35.6259,134.8223
多文化交流サロン,2024/9/28,13:30,2024/9/28,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,NPO法人にほんご豊岡あいうえお,0796-20-4037,,,豊岡,35.5559,134.8004
認知能力・非認知能力を育てる 中国語母語教室,2024/9/29,10:00,2024/9/29,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,未定（野外）,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
出石消防団消防操法大会,2024/9/29,13:00,2024/9/29,,出石消防団の消防操法大会（礼式・ポンプ操作・ホース連結・放水等の試技を分団ごとに実施し、タイム・技術を競う。）,出石庁舎駐車場,出石振興局地域振興課,0796-21-9025,,,出石,35.4616,134.8747
