ジャンル,名称,名称（よみ）,緯度,経度,郵便番号,住所1,住所2,電話番号,FAX番号,説明文,開催時期,HP　URL,
公園,久留米百年公園,くるめひゃくねんこうえん,33.321021,130.533987,839-0864,福岡県久留米市百年公園2432-1,,0942-32-4882,,平成元年、久留米市の市制100周年を記念し造営された久留米百年公園。芝生広場やイベント広場、多目的広場等があり、桜の時期には約200本の桜が咲く高良川の堤防や筑後川河川敷に接しています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000079&isSpot=1&isEvent=,
公園,久留米森林つつじ公園,くるめしんりんつつじこうえん,33.29870034,130.5739837,839-0851,福岡県久留米市御井町299-354,,,,"高良大社の奥の院の東側の耳納スカイラインの途中にあるところが、久留米つつじで知られる「久留米森林つつじ公園」です。公園には100種61,000株のつつじが植えられ、4月中旬から連休までが見頃です。また、桜や楓などがあり春秋に彩りを添えています。　",,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000077&isSpot=1&isEvent=,
公園,発心公園,ほっしんこうえん,33.31352452,130.6366892,839-0835,福岡県久留米市草野町草野664-1,,,,耳納北麓の自然に抱かれ、草野の古い町並みの山手にある発心公園はピクニックにはもってこいの公園です。 また、歴代藩主の花見の場所といわれ、春は約170本の桜が咲き誇り、毎年花見客で賑わいます。 夏は山の緑や涼を求め、発心川の谷で遊ぶ事ができ、秋はもみじ谷の紅葉がきれいです。 ,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000081&isSpot=1&isEvent=,
山岳,耳納連山,みのうれんざん,,,,福岡県久留米市市内東部,,,,筑後一の宮の高良大社が鎮座する耳納連山。古生代の終わりごろに（約２億年から３億年くらい前）、度重なる断層運動によって東西方向の山脈ができました。東西は、３０キロに及び、東から最高峰の鷹取山、発心山、耳納山、高良山と、屏風のように切り立って見えるところから「屏風山」ともいわれています。耳納連山には、数千基ともいわれる古墳があり、古代から人々はこの連山を特別なものと見ていたのでしょう。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000075&isSpot=1&isEvent=,
史跡,下馬場古墳,しもばばこふん,33.313771,130.622782,839-0836,福岡県久留米市草野町吉木2263ほか,,,,下馬場古墳は、6世紀後半に築造されたと考えられ、前畑古墳や今は存在しない薬師下北・南古墳などとともに、吉木古墳群と呼ばれています。,,,
史跡,御塚・権現塚古墳,おんづか・ごんげんづかこふん,33.2794464,130.477648,830-0073,福岡県久留米市大善寺町宮本,,,,大善寺にある御塚・権現塚は市内にある古墳時代の遺跡として有名です。御塚は帆立貝式前方後円墳で全長123メートルの三重の周濠がめぐっています。また、権現塚は円墳で全長150メートルの周濠が二重にめぐっています。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000018&isSpot=1&isEvent=,
史跡,高良山神籠石,こうらさんこうごいし,,,839-0851,福岡県久留米市御井町1,,,,神籠石（こうごいし）とは、山に巨石が並べられている遺跡のことで、「鬼が造ったもの」であるとか、「神域の結界を表すもの」であるなどと言われていましたが、現在では、飛鳥時代ごろに作られた山城であると考えられています。高良山の神籠石は、ほかの神籠石にさきがけて、学会に報告され、神籠石という遺跡の名前の発祥となりました。,,,
史跡,久留米城跡（篠山城）,くるめじょうし（ささやまじょう）,33.328626,130.5080616,830-0021,福岡県久留米市篠山町444,,,,江戸時代の久留米藩、約250年間を治めた有馬氏の居城跡で、その昔は笹原城の名で呼ばれていました。今は平山城づくりの本丸跡が残され、見事な石垣や正面側の内濠に往時の雄姿をしのぶことができます。　昭和58年3月19日県指定文化財となっています。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000001&isSpot=1&isEvent=,
史跡,青木繁旧居,あおきしげるきゅうきょ,33.31265121,130.505832,830-0042,福岡県久留米市荘島町431,,0942-39-3575,0942-39-3575,わが国近代絵画の歴史の中で一際あざやかな光を放つ天才画家・青木繁。その青木が少年期を過ごし、豊かな芸術の才能を育んだふるさとの家が復元整備され、一般公開しています。 漆喰の壁が緑に映える静かなたたずまいで、内部には青木の実像にせまる資料や写真パネルなどを展示しています。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000047&isSpot=1&isEvent=,
史跡,坂本繁二郎生家,さかもとはんじろうせいか,33.3199001,130.4990456,830-0028,福岡県久留米市京町224-1,,0942-35-8260,,市内に唯一現存する武家屋敷として貴重な歴史遺産で、久留米市指定有形文化財に指定されています。また、繁二郎の親友の青木繁が居候した茶室も復元し、彼らが描いたといわれる襖絵（複製）も展示しています。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=400000000426&isSpot=1&isEvent=,
史跡,安国寺・甕棺墓群,あんこくじ・かめかんぼぐん,33.32208785,130.5609296,839-0811,福岡県久留米市山川神代1-5-21,,,,臨済宗南禅寺派の末流で、寺伝によれば足利直義によって室町初期1339年の創建といわれています。国指定の甕棺墓群には、甕棺墓111基・祭祀土坑17基など、約5400㎡の範囲で、弥生時代の精神文化や生活様式を復元する上で極めて貴重な遺跡です。,,,
植物,北野天満宮の大樟,きたのてんまんぐうのおおくす,33.34358694,130.5844968,830-1113,福岡県久留米市北野町中3267,,0942-78-2140,,根元周囲は22.0メートル、枝張りは東へ11.0メートル、樹高17.5メートルを測ります。その大きさにも圧倒されますが、特に地上2.5メートルより二股となり、根元のふくらみは顕著で、その特異性を誇っています。 福岡県指定天然記念物。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000022&isSpot=1&isEvent=,
植物,千光寺の紫陽花,せんこうじのあじさい,33.30619203,130.5951002,839-0827,福岡県久留米市山本町豊田2287,,0942-44-1434,,日本最古の禅寺の一つと伝えられる、龍護山千光寺。境内には約40種・約7000株のあじさいが植えられています。6月の「あじさい祭り」は、多くの観光客でにぎわいます。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000011&isSpot=1&isEvent=,
植物,柳坂曽根のハゼ並木,やなぎさかそねのはぜなみき,33.312494,130.591521,839-0827,福岡県久留米市山本町豊田,,,,昭和39年5月県の天然記念物に指定された櫨並木で、南北約1.1kmに現在約200本が現存します。 青木繁は「わが国は 筑紫の国や　白日別　母います国　櫨多き国」と詠んでいます。また、新・日本街路樹100景にも選ばれています。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000067&isSpot=1&isEvent=,
植物,コスモス街道,こすもすかいどう,33.33948,130.579268,,福岡県久留米市北野町,,,,未来にのこしたい日本の花風景「池坊花逍遥100選」に認定された「コスモス街道」。10月の開花期には陣屋川の堤防約3.5キロメートルに渡って約50万本のコスモスが咲き誇ります。コスモスフェスティバル期間中は、約1.4キロメートル区間 が歩行者専用道路になります。また、北野天満宮横の駐車場ではレンタサイクルの貸し出し（有料）もあります。コスモス開花期：10月（見頃は10月上旬～中旬）,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000070&isSpot=1&isEvent=,
植物,梅林寺外苑の梅,ばいりんじがいえんのうめ,33.3231616,130.4997028,830-0028,福岡県久留米市京町209,,,,梅林寺は、その地に梅林があるので梅林寺と名づけられたのではありません。 関が原の戦いで功を為した有馬豊氏公は久留米の土地を与えられ、当時有馬家の領土丹波篠山にあった瑞厳寺（ずいがんじ）を移建し、その名を父則頼公の戒名「梅林院殿」にちなんで「梅林寺」としました。 ,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=400000000456&isSpot=1&isEvent=,
神社・仏閣等,永勝寺,えいしょうじ,33.30330999,130.5920112,839-0827,福岡県久留米市山本町豊田2155,,0942-44-1386,,創建は天武天皇9（680）年といわれ、本尊は薬師如来様です。皇后の病気を平癒するために祈願されたとされ、「出雲の一畑」「伊予の山田」と共に日本三大薬師の一つに数えられています。境内には、柳坂の地名起源を思わせる推定樹齢200年以上の「アカメヤナギ」（市指定天然記念物）の大木、「ケンポ梨」（市指定天然記念物）などがあります。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000010&isSpot=1&isEvent=,
神社・仏閣等,大善寺玉垂宮,だいぜんじたまたれぐう,33.275733,130.474288,830-0073,福岡県久留米市大善寺町宮本1463-1,,0942-27-1887,,国の重要無形民俗文化財で、日本三大火祭りの一つである鬼夜が行われる玉垂宮は玉垂命、八幡大神、住吉大神が祀られています。社宝に「絹本著色玉垂宮縁起」2幅（重要文化財）があります。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000017&isSpot=1&isEvent=,
神社・仏閣等,梅林寺,ばいりんじ,33.3231616,130.4997028,830-0028,福岡県久留米市京町209,,0942-32-2565,,JR久留米駅のすぐ裏手、筑後川べりの丘に堂々たる伽藍をみせているのが、臨済宗妙心寺派の梅林寺です。九州の代表的な修行道場として知られる古刹で、また久留米藩主有馬氏菩提寺となった寺です。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000003&isSpot=1&isEvent=,
神社・仏閣等,遍照院,へんじょういん,33.31897928,130.5197914,830-0014,福岡県久留米市寺町56,,0942-32-8794,,明治維新の先達、高山彦九郎が眠る遍照院。この高山彦九郎の墓の脇で、四季の緑豊かなたたずまいを感じさせる純日本式の庭園が、遍照院庭園です。この庭園は当時奈良国立文化財研究所におられた森薀（もりおさむ）工学博士の設計によるもので、王朝風のたたずまいを入れてあります。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=400000000427&isSpot=1&isEvent=,
神社・仏閣等,若宮八幡宮,わかみやはちまんぐう,33.30922896,130.6258433,839-0836,福岡県久留米市草野町吉木2611,,0942-47-2498,,文治3年（1187）に分霊を勧請したもので若宮八幡宮縁起二幅、宋風狛犬などが保存されています。なお2年に1度（西暦奇数年）9月の第2土曜と日曜に行われる御神幸祭は市指定無形民俗文化財（昭和59年6月29日市指定）です。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000013&isSpot=1&isEvent=,
神社・仏閣等,北野天満宮,きたのてんまんぐう,33.34358694,130.5844968,830-1113,福岡県久留米市北野町中3267,,0942-78-2140,,天喜2年（1054年）に創建されました。境内には県の天然記念物に指定されている樹齢900年の大樟があります。祭神、菅原道真公とカッパについての伝説もあり、その伝説を証明するかのように、現在でも「カッパの手」が天満宮の宝物として大事に保管されています。毎年、10月の第3日曜日には県の無形文化財に指定されている、秋祭り「おくんち」が行われます。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000020&isSpot=1&isEvent=,
神社・仏閣等,石垣山観音寺,いしかきざんかんのんじ,33.330544,130.708223,839-1212,福岡県久留米市田主丸町石垣275,,0943-72-3490,,和銅元年元明天皇の詔命で行基菩薩によって開創されました。今もなお多くの寺宝を残し、2月には寺内にある樹齢約350年のハルサザンカを祝う「さざんか祭り」が行なわれます。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=400000001088&isSpot=&isEvent=1,
神社・仏閣等,千光寺,せんこうじ,33.30619203,130.5951002,839-0827,福岡県久留米市山本町豊田2287,,0942-44-1434,,"約7,000本のあじさいが植えられ、「あじさい寺」として親しまれている龍護山千光寺（曹洞宗）は、耳納北麓の山辺の道（旧日田街道）沿いに、宮園地区から山閧ﾉ入ったところにあります。あじさいの開花時期に合わせて、「あじさいまつり」が開催されます。",,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000011&isSpot=1&isEvent=,
神社・仏閣等,月読神社,つくよみじんじゃ,33.344413,130.691215,839-1233,福岡県久留米市田主丸町田主丸552-2,,0943-72-4956,,月読神社は、目の神様や先が見えるという開運の神様といわれ人々に親しまれています。毎年1月23日～25日に開催されるお祭り「三夜さま」では、縁日や植木市もあり、商売繁盛や家運の盛隆を願う大勢の参詣者で賑わいます｡,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000028&isSpot=1&isEvent=,
神社・仏閣等,善導寺,ぜんどうじ,33.33000914,130.6037748,839-0824,福岡県久留米市善導寺町飯田550,,0942-47-1006,,開山は承元2年（1208）といわれ、浄土宗の開祖法然の高弟聖光上人が、筑後国在国司草野永平を大檀那として建立した草野家の菩提寺で大本山の格式をもった古刹です。山門を進むと右手に樟の巨木（県指定天然記念物）が見られ、左手には大梵鐘（県指定文化財）があって、荘厳な境内ぶりをうかがうことができます。奥の三祖堂には、木像の善導大師坐像と大紹正宗国師（聖光上人）坐像が安置されていますが、いずれも重要文化財です。中でも紺紙金泥観普賢経（重要文化財）や本朝祖師伝絵戟（県指定文化財）などが特に知られ、新たに本堂と大門が国の重要文化財に指定されました。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000008&isSpot=1&isEvent=,
神社・仏閣等,須佐能袁神社,すさのおじんじゃ,33.31898252,130.6381917,839-0835,福岡県久留米市草野町草野443-2,,0942-47-0531,,建久8年（1197）時の権力者・草野永平の創建といわれ、旧名草野祇園社です。本殿・拝殿・楼門がいずれも県指定文化財であり、中でも特に見事な彫刻がほどこされた楼門は圧巻です。また、権現造りの社殿は、荘厳さの中に美しくたたずんでいます。,,http://www.kurume-hotomeki.jp/jp/event/?mode=detail&id=402036000012&isSpot=1&isEvent=,
神社・仏閣等,成田山　久留米分院,なりたさん　くるめぶんいん,33.285022,130.535135,830-0052,福岡県久留米市上津町1386-22,,0942-21-7500,,身代り不動尊で全国的に知られています千葉県の大本山成田山新勝寺から御分霊を招請して開山、「宝石開運門」建立についで、慈母大観音像が建立されています。この大観音像は、高さ62メートルの鉄筋コンクリート造りです。眉間の白毫は30センチの金の延板上に、3カラットのダイヤモンド18個が、また、胸のﾞ蕫竄には水晶と眷翠（56個）を配し、13メートルの幼児を抱いています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000007&isSpot=1&isEvent=,
神社・仏閣等,高良大社,こうらたいしゃ,33.30161616,130.5658052,839-0851,福岡県久留米市御井町1,,0942-43-4893,,耳納連山の最西端、標高312メートルの高良山に鎮座するのが、旧国幣大社で筑後一の宮である高良大社です。現在の本殿、幣殿、拝殿は、久留米藩主有馬頼利（三代）の建立で、いずれも重要文化財です。また、社宝に「紙本墨書平家物語」（重要文化財）、「絹本著色高良大社縁起」（県文化財）などがあり、山中の孟宗金明竹（国の天然記念物）や高良山神眥石（国指定文化財。史跡）なども貴重なものとして保存されています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000006&isSpot=1&isEvent=,
神社・仏閣等,水天宮,すいてんぐう,33.320355,130.496022,830-0025,福岡県久留米市瀬下町265-1,,0942-32-3207,,水天宮は全国水天宮の総本宮です。 水にゆかりの社として海運守護神となり河童伝説との結びつきも伝えられ、信心を集めました。 今は安産の神様として知られています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000004&isSpot=1&isEvent=,
町並み,草野の町並み,くさののまちなみ,,,,福岡県久留米市草野町,,,,草野町は中世の豪族・草野氏の城下町として栄えた場所です。江戸時代には、豊後街道の宿駅としてもにぎわいました。多くの寺社仏閣のほか、明治・大正時代に建てられた和洋折衷の建物も連なり、風情豊かな町並みです。「美しい日本の歩きたくなる道500選」にも、山苞の道とともに選ばれました。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000247&isSpot=1&isEvent=,
町並み,寺町,てらまち,,,830-0014,福岡県久留米市寺町,,,,「寺町」の名の通り、ここには17の（古くは26寺）の寺院が集まって一つの聖域をつくっています。数多くの先人が永眠している中で、最もよく知られた人物は、勤王の志士高山彦九郎、久留米絣始祖の井上伝、久留米つつじの始祖坂本元蔵、洋画家古賀春江などがいます。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000009&isSpot=1&isEvent=,
伝統工芸技術,藍胎漆器,らんたいしっき,,,,福岡県久留米市,,,,籃胎漆器は、久留米絣と並ぶ伝統工芸品、薄い竹ひごを編んで作った竹細工に漆を塗って固め磨いては塗り固めたもので、竹細工の持つ粋と漆のもつ堅牢、優雅さを合わせ持つ伝統工芸品です。,,,
伝統工芸技術,城島瓦,じょうじまがわら,,,,福岡県久留米市城島町,,,,何百年もの風雨に耐えられる強度と高い耐寒性を持ち合わせ、深みのある光沢が美しい「いぶし銀」が特長の城島瓦。城島瓦は、江戸時代に有馬公が丹波の国（現在の京都府、兵庫県）より瓦工を連れてきたことから始まったとされ、約400年もの伝統があります。,,,
伝統工芸技術,城島和傘,じょうじまわがさ,33.261909,130.429563,830-0202,福岡県久留米市城島町内野466-1,,0942-62-1137,,筑後和傘は、福岡県内では市内城島町しかない伝統工芸《県知事指定特産民芸品》です。竹・和紙・漆・油・糊・糸・柿渋といった日本古来の自然素材を用いてつくられ、今や貴重品となっています。,,,
動・植物園,くるめ緑花センター,くるめりょっかせんたー,33.318514,130.594827,839-0822,福岡県久留米市善導寺町木塚302-1,,0942-47-2581,,日本3大植木産地と言われる久留米市にある「くるめ緑花センター」は、植木や花きなどの共同の集荷販売を目的に設置された一大流通センターです。また、業者だけでなく、一般の人も自由に気兼ねなくいつも利用でき、植木、盆栽、鉢物、園芸資材、モデル庭園等の展示即売ができる「緑のデパート」です。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000046&isSpot=1&isEvent=,
動・植物園,久留米市鳥類センター,くるめしちょうるいせんたー,33.319764,130.528012,830-0003,福岡県久留米市東櫛原町中央公園内,,0942-33-2895,,中央公園の中にある鳥類センターは、約100羽ものクジャクを主体に、タンチョウやフラミンゴなど82種約420点もの鳥類が見られます。観覧車やメリーゴーランド等の遊具施設、夏期には市民流水プールもあります。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000036&isSpot=1&isEvent=,
動・植物園,久留米市世界つつじセンター,くるめしせかいつつじせんたー,33.31684184,130.6125198,839-0836,福岡県久留米市山本町耳納1875-1,,0942-47-4580,,約1ヘクタールの敷地には、約1600種2万本を植栽した母樹園や、貴重な品種を保存する母木室、増殖室のミスト室などがあります。また、ツツジ生産者に対して必要な品種を安定的に供給し、久留米市におけるツツジ生産の振興及び緑化産業の活性化を図っています。花の見ごろは、4月上旬～4月下旬です。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000045&isSpot=1&isEvent=,
動・植物園,久留米市世界のつばき館,くるめしせかいのつばきかん,33.31781117,130.6305334,839-0837,福岡県久留米市草野町矢作490-2,,0942-47-1821,0942-47-1821,久留米市世界のつばき館は、ツバキの古木があり、古くからツバキの生産が盛んな久留米市草野地域の特性を生かし、ツバキの起源である原種ツバキをはじめ、世界のツバキを収集・展示する施設です。ガラスハウスのツバキ展示施設では、ベトナム、中国、日本などの原種ツバキ100種以上を展示。ツバキ庭園には「正義（マサヨシ）」、｢福娘（フクムスメ）」などの久留米つばきなど約50種類160本を植栽し、様々なツバキを観賞することができます。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=400000001042&isSpot=1&isEvent=,
動・植物園,久留米つばき園,くるめつばきえん,33.31451399,130.6312787,839-0835,福岡県久留米市草野町草野546-1,,,,｢久留米つばき園」は、明治時代に開墾された花木の母樹園を活かして造成された園で、全国でも有数の多品種、約500品種・2000本のツバキ類が植栽されています。2010年3月には、「石橋文化センターつばき園」とともに、｢国際優秀つばき園」に認定されました。また、園内には200品種500本のツツジが植栽されており、「つばきゾーン」以外にも、「しゃくなげゾーン」、「かえでゾーン」、「うめ園ゾーン(約50本)」と、季節ごとに楽しめるゾーニングが行われています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000066&isSpot=1&isEvent=,
道の駅（見る）,道の駅くるめ,みちのえきくるめ,33.31907601,130.5941117,839-0822,福岡県久留米市善導寺町木塚221-33,,0942-47-4111,,緑豊かな景色が広がる耳納北麓にある「道の駅くるめ」は国道２１０号沿いでアクセス便利。ファーマーズマーケット、レストラン、休憩施設、交流研修室、トイレからなります。くるめ緑花センターやハゼ並木など様々な観光スポットに隣接し、久留米市の新たな魅力となっています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000032&isSpot=1&isEvent=,
博物館,有馬記念館,ありまきねんかん,33.32835675,130.5072414,830-0021,福岡県久留米市篠山町444番地,,0942-39-8485,,県指定史跡久留米城の本丸内にあり、2階に展示室、1階にレストランがあります。展示室では、江戸時代のほとんどを通して久留米藩を治めた、有馬氏に関する資料を展示しています。第10代藩主有馬頼永(よりとお)･11代藩主頼咸(よりしげ)の甲胄や武具、陣羽織、輿入れした姫君たちの薙刀･雛人形･化粧道具を中心に展示しており、江戸時代の久留米を知る格好のものとなっています。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000038&isSpot=1&isEvent=,
博物館,筑後川防災施設「くるめウス」,ちくごがわぼうさいしせつ「くるめうす」,33.32278969,130.5358394,839-0865,福岡県久留米市新合川1-1-3,,0942-45-5042,,昭和28年の大水害から50年の節目の年に、人々に大洪水の記録を伝え、災害から身を守る治水の大切さを伝えていきたいという目的で建設された河川情報拠点施設です。(平成15年6月14日オープン)　館内では、ジオラマ水槽で泳ぐ筑後川の上・中・下流の魚たちが観察できます。また、大画面スクリーン(100インチ)やパソコン・パネル展示で筑後川流域の歴史・文化・自然環境などが学べます。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000048&isSpot=1&isEvent=,
美術館,久留米市美術館,くるめしびじゅつかん,33.3121728,130.5303416,839-0862,福岡県久留米市野中町1015,,0942-39-1131,,,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=400000001861&isSpot=1&isEvent=,
歴史的建造物,山辺道文化館,やまべのみちぶんかかん,33.31813102,130.6331817,839-0835,福岡県久留米市草野町草野487-1,,0942-47-3015,,久留米市の東部、耳納北麓に広がる草野の伝統的町並みの中にある建物で、病院として使われていました。建築年代は久留米市花畑で建設中であったもの大正3年(1914年)に草野町に移築し、完成されたといわれています。九州地区でも珍しい大規模な木造洋風2階建てであり、デザイン的にも優れ、堂々としており、内部にも繊細なデザインを用いるなど優れた建物と評価されています。平成11年2月国指定登録文化財。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000042&isSpot=1&isEvent=,
歴史的建造物,草野歴史資料館,くさのれきししりょうかん,33.31936506,130.6354857,839-0835,福岡県久留米市草野町草野411-1,,0942-47-4410,,昭和59年2月1日開館。建物は、明治43年7月、株式会社草野銀行本店として建てられていたもので、和洋折衷の均整のとれた様式です。唐草紋をあしらった門扉や垣棚などのデザインは、旧三井郡の中心地として栄えていた草野人の先進文化吸収への自信を表すものとなっています。平成11年6月国指定登録文化財。,,http://www.kurume-hotomeki.jp/event/?mode=detail&id=402036000039&isSpot=1&isEvent=,

