行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
アートスクール～劇場を創る舞台技術～PART3 「演劇音響入門講座」,2024/11/4,10:00,2024/11/4,17:00,"舞台音響家・藤田赤目氏による演劇音響
入門講座。機材の扱い方、デザイン、
オペレーションなどをわかりやすく学べ
ます。",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
第14回永楽館歌舞伎,2024/11/4,9:00,2024/11/11,,"演目
１　奥州安達原（おうしゅうあだちがはら）　袖萩祭文（そでがぎさいもん）
２　お目見得　口上
３　高坏（たかつき）
出演
片岡愛之助（かたおかあいのすけ）
中村壱太郎（なかむらかずたろう）
中村歌之助（なかむら　うたのすけ）
市川九團次（いちかわくだんじ）
片岡孝太郎（かたおかたかたろう）

入場料金14,000円（全席指定）

公演初日の前日（11/3）に幹部俳優が出石中心地を人力車で巡り
来場者に挨拶をする「お練り」を開催。
第52回出石お城まつりの１イベントとして開催。",出石永楽館,出石永楽館,0796-21-9025,,,出石,35.4619,134.8715
兵庫県中学校駅伝競走大会(但馬大会),2024/11/5,,2024/11/5,,但馬地域内中学校の駅伝大会,"奥神鍋付近道路周回
コース",日高神鍋観光協会,0796-45-0800,,,日高,35.5049,134.6591
事業承継 無料個別相談会,2024/11/8,11:00,2024/11/8,16:30,個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。,"豊岡商工会議所
（豊岡市大磯町1番79号　
じばさんTAJIMA6階）","兵庫県事業承継・引継ぎ支援
センター",078-303-2299,"豊岡商工会議所　
0796-22-4456","https://www.city.toyooka.lg.jp/
sangyo/kigyoshien/sogyoshien/1
022664.html",豊岡,35.5401,134.8257
『食べて』『学んで』『体験する』但馬まるごと感動市,2024/11/9,10:00,2024/11/10,15:00,"但馬の恵まれた自然環境と多様な農林水産物や地場産品等の但馬ブランド、地域づくりに向けたフィールドパビリオン等の取組等の情報発信を行う。
松葉ガニの出店や蟹汁の炊き出し提供、但馬牛の出店を始め、体験ブースでは、豊岡杞柳細工の篭編み体験等各種フィールドパビリオンブースが展開される。
",イオン和田山店駐車場（兵庫県朝来市和田山町枚田岡774）,"兵庫県但馬県民局　
豊岡農林水産振興事務所",0796-26-3697,,,その他,35.3301,134.8644
但馬ドームオータムフェスタ＆ロハスパーク豊岡,2024/11/9,,2024/11/10,,"ステージイベントやニュースポーツ体験会、地産地消による食の提供など、健康・環境・エコをテーマにした集客イベント
","但馬ドームドーム棟
グラウンドほか",全但バス但馬ドーム,0796-45-1900,,,日高,35.4936,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/9,10:30,2024/11/9,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
豊岡消防フェア2024,2024/11/9,10:00,2024/11/9,14:00,防火ポスター・消防車両の展示、はしご車搭乗体験等の火災予防啓発イベントを開催する,コープこうべ豊岡,豊岡市消防本部予防課,0796-24-8035,,,豊岡,35.5509,134.8163
リサイクルブックフェア(本館),2024/11/9,10:00,2024/11/10,15:00,"保存期限を経過した雑誌・不要となった
本を無料で提供。","図書館本館 視聴覚・
講演室",図書館本館,0796-23-6151,,,豊岡,35.058,135.6029
神鍋ねぎまつり,2024/11/10,10:00,2024/11/10,,神鍋のネギの販売他,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.6752
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/10,10:30,2024/11/10,11:30,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
コウノトリ野鳥観察会,2024/11/10,13:00,2024/11/10,15:00,園内でコウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2024/11/10,10:00,2024/11/10,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,"芸術文化観光専門職大学　
姚瑶（ようよう）研究室",0796-34-8446,,,豊岡,0,0
豊岡市商工会　創業塾,2024/11/12,10:00,2024/11/19,17:00,"起業の第一歩を踏み出すための基礎知識から、現代のビジネス環境に適応するための戦略まで、実践的な内容を幅広く専門家が指導します。
対象：独立・開業をお考えの方、開業して間もない方、経営の見直しを検討中の方　など
【日時】11月12日（火）、11月19日（火）各日10時～17時","豊岡市商工会　会議室
（豊岡市役所日高庁舎２階）","豊岡市商工会　支援課
（担当：羽尻、土肥）",0796-42-4751,,"https://ingnet.jp/2024/08/29/
%e5%89%b5%e6%a5%ad%e5%
a1%be%e3%80%80%e9%96%8b%
e5%82%ac%e3%81%ae%e3%81%
8a%e7%9f%a5%e3%82%89%e3%
81%9b/",日高,35.4703,134.7709
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/13,10:30,2024/11/13,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
女性のための「お金と未来」の相談会,2024/11/13,9:30,2024/11/13,12:30,"収入と支出のバランス設計、NISAやiDeCo、ライフステージ（人生の各段階）に応じた貯蓄計画、教育費・年金・保険などについて、ファイナンシャルプランナーなどの女性アドバイザーがわかりやすく丁寧にアドバイスをします。

相談員：但馬銀行の女性アドバイザー（ファイナンシャルプランナーなど）
開催時間：①9:30～、②10:30～、③11:30～　の3枠。※おひとり50分","WACCU TOYOOKA　学習室 
(アイティ4階)","豊岡市多様性推進・
ジェンダーギャップ対策課",0796-21-9004,,"https://www.city.toyooka.lg.jp/
kurashi/1007000/1019184/
1029211.html",豊岡,35.5445,134.8149
豊岡ノーマイカーデー,2024/11/13,0:00,2024/11/13,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
2024年度公開講座 第５回出石の歴史を楽しむ,2024/11/14,19:00,2024/11/14,20:30,"今回は室町時代に但馬地域を治めていた
山名氏についてです。山名氏は、室町幕府の要職を務め、全盛期には一族で全国66ヵ国のうち11ヵ国を治めていました。
講師は、兵庫県立考古博物館で開催された特別展「山名氏の城と戦い」を担当された多賀さんから対談形式でお話を伺います。",出石庁舎２階　大会議室,出石振興局地域振興課,0796-21-9025,,,出石,35.4614,134.875
"ママパパへの読書タイムプレゼント
～図書館 託児サービス～",2024/11/15,10:30,2024/11/15,11:30,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
としょかん映画会,2024/11/15,10:30,2024/11/15,,『命のビザ』(1992年/115分),"図書館本館　
視聴覚･講演室",図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
兵庫県中学校駅伝競走大会(県大会),2024/11/16,,2024/11/16,,県内中学校の駅伝大会,奥神鍋付近道路周回コース,日高神鍋観光協会,0796-45-0800,,,日高,35.505,134.6574
第34回とよおか津居山港かにまつり,2024/11/16,8:30,2024/11/16,12:30,"セコがに汁、かに雑炊の無料配布（先着各500杯）
素人新鮮うまいもん競り市（津居山かに、魚介類、但馬牛など）
セコがにつかみ取り（１回100円　対象は５歳～小学生）
かにかにクイズ（正解者に城崎マリンワールドのグッズをプレゼント）
海産物の販売","但馬漁業協同組合津居山支所
（豊岡市瀬戸77-21）",とよおか津居山港かにまつり実行委員会（豊岡観光協会内）,0796-22-8111,,"https://toyo-kan.jp/topics/2236/
#:~:text=%E7%AC%AC34%E5%9B
%9E%E3%81%A8%E3%82%88%E3
%81%8A%E3%81%8B%E6%B4%A5
%E5%B1%85",豊岡,0,0
第225回サロンコンサート,2024/11/16,12:30,2024/11/16,,"「ミュージカル･アモーレ」による
ミュージカルコンサート",豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
としょかん映画会,2024/11/16,13:30,2024/11/16,,『命のビザ』(1992年/115分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
リサイクルブックフェア(日高),2024/11/17,10:00,2024/11/17,15:00,保存期限を経過した雑誌・不要となった本を無料で提供。,日高庁舎1階 ロビー,図書館日高分館,0796-21-9060,,,日高,35.5401,134.8216
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/17,14:00,2024/11/17,15:00,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
田んぼの学校,2024/11/17,9:30,2024/11/17,12:00,里山探検・秋のめぐみ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
焼きいも、いも煮＆竹工作,2024/11/17,9:00,2024/11/17,13:00,"・焼きいも、いも煮　　　　　　
・竹のおもちゃづくり
・作ったおもちゃで遊ぶ",クリーンパーク北但,クリーンパーク北但,0796-21-9110,"メール：
event@hokutan.jp",http://www.hokutan.jp,竹野,35.589,134.7271
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/18,10:30,2024/11/18,11:30,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/22,14:00,2024/11/22,15:00,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,35.4702,134.9499
豊岡ノーマイカーデー,2024/11/22,0:00,2024/11/22,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
多文化交流サロン,2024/11/23,13:30,2024/11/23,,"外国人市民が日本で生活していくために
大切なことを学びます。防災のことや生活オリエンテーションを実施します。
日本や外国の文化、行事等を通じた交流
事業も行います。","WACCU TOYOOKA(Aity４階) 
学習室","NPO法人にほんご豊岡
あいうえお",0796-20-4037,,,豊岡,35.5559,134.8004
城崎温泉　かに王国絶叫大会,2024/11/23,11:00,2024/11/23,,"「かにさんありがとー！」の決まり文句に続いて思い思いの言葉を叫び、声の大きさを競います。１・２・３位の方には豪華『津居山ガニ』をプレゼント！
その他にも国王賞・もてなし大臣賞・ユーモア賞などもあります。",JR城崎温泉駅前,（一社）城崎温泉観光協会,0796-32-3663,,,城崎,35.6238,134.8132
小さなクリスマスマルシェ,2024/11/24,10:00,2024/11/24,,クリスマスの飾りを作ってみませんか？,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.6752
植物観察会,2024/11/24,13:00,2024/11/24,15:00,秋の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ギャラリートーク「北方ユーラシアの古代『岩画』を読み解く」,2024/11/24,13:00,2024/11/24,15:00,"「岩画（がんが）」の拓本提供者で書家の岡本
光平氏が、北方ユーラシアの「岩画」の魅力を
語り尽くす。",日本・モンゴル民族博物館,日本・モンゴル民族博物館,0796-56-1000,,"https://www3.city.toyooka.lg.jp/
monpaku/",但東,35.4925,134.9946
認知能力・非認知能力を育てる 中国語母語教室,2024/11/24,10:00,2024/11/24,12:00,"中国語の母語教室。座学と演劇ワークショップ
の実施。",芸術文化観光専門職大学,"芸術文化観光専門職大学　
姚瑶（ようよう）研究室",0796-34-8446,,,豊岡,0,0
第35回但馬ドーム杯グラウンド･ゴルフ交流大会予選,2024/11/27,,2024/11/28,,"但馬ドームグラウンド･ゴルフクラブ会員を
対象とした交流大会",但馬ドームドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/11/30,14:00,2024/11/30,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
