行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
そよかぜ朗読会,2024/5/5,10:30,2024/5/5,10:50,朗読ボランティア「そよかぜ」による朗読会,図書館本館　いこいの間,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
豊岡ノーマイカーデー,2024/5/8,0:00,2024/5/8,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/11,10:30,2024/5/11,11:30,図書館による託児サービス,図書館竹野分館,図書館竹野分館,0796-23-6151,,,竹野,35.6499,134.7578
第59回企画展　学芸員の推し！収蔵品展　展示解説,2024/5/11,0:00,2024/5/11,,展示物を分かりやすく解説する。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,34.6929,135.1424
第219回サロンコンサート,2024/5/12,12:30,2024/5/12,13:15,ウクレレグループＬｅａ☆Ｌｅａによるウクレレコンサート,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
但馬ドームセンター棟ギャラリー,2024/5/12,,2024/6/4,,"「第17回但馬のロマン楽しい書展」　出展団体：書を楽しむ会
",全但バス但馬ドーム　センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4939,134.6867
コウノトリ野鳥観察会,2024/5/12,13:00,2024/5/12,15:00,コウノトリと野鳥を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
神鍋温泉ゆとろぎ　よもぎ湯,2024/5/12,12:00,2024/5/12,21:00,神鍋高原で採れた「よもぎ」を使ったよもぎ湯。,神鍋温泉ゆとろぎ,神鍋温泉ゆとろぎ,0796-45-1515,,,日高,35.4994,134.6754
認知能力・非認知能力を育てる 中国語母語教室,2024/5/12,10:00,2024/5/12,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
一般公募　普通救命講習,2024/5/12,9:00,2024/5/12,11:00,普通救命講習を行う,寺坂地区コミュニティセンター（寺坂地区交流センター）,寺坂地区コミュニティセンター（寺坂地区交流センター）,0796-24-1119,,,出石,35.4534,134.8955
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/13,14:00,2024/5/11,15:00,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/15,14:00,2024/5/15,15:00,図書館による託児サービス,豊岡市立図書館　会議室,図書館本館,0796-23-6151,,,豊岡,34.6929,135.1424
としょかん映画会,2024/5/17,10:30,2024/5/17,,『殯(もがり)の森』(2007年/97分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
としょかん映画会,2024/5/18,13:30,2024/5/18,,『殯(もがり)の森』(2007年/97分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
春のコウノトリ感謝祭,2024/5/19,10:00,2024/5/19,,「豊岡市生きもの共生の日」関連イベント。ワークショップやキッチンカーなど。,コウノトリ郷公園,コウノトリ共生課,0796-21-9017,,,豊岡,35.5514,134.8552
第１回コウノトリKIDSクラブ,2024/5/19,9:00,2024/5/19,12:00,コウノトリKIDSクラブ結成式,コウノトリ文化館,コウノトリ共生課,0796-21-9017,,,豊岡,35.5514,134.8552
田んぼの学校,2024/5/19,9:30,2024/5/19,12:00,ビオトープで生きもの探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
とよフェス×手話 SONG OF SIGN vol.3,2024/5/19,13:30,2024/5/19,16:00,"すべての人に音楽を。豊岡初！音楽・ダンス・お笑いに手話をつけてすべての人にエンターテイメントを届ける。LIVE：miwa ハジ→　お笑いLIVE：アキラ100%　総合司会：足立梨花　総合プロデュース：HANDSIGN　主催：豊岡市　チケットは豊岡市民会館及び各プレイガイドで販売　全席指定　一般3,500円　高校生以下2,000円　当日券は500円増",豊岡市民会館,豊岡市民会館,0796-23-0255,,https://www.city.toyooka.lg.jp/1019810/1019844/shiminhall/1002106/1028978.html,豊岡,35.5407,134.8249
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/19,10:30,2024/5/19,11:30,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
土器を探そう！,2024/5/19,14:00,2024/5/19,15:00,但馬国分寺跡で本物の土器を探す。,但馬国分寺,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4721,134.7739
円山川ウォーキング,2024/5/19,10:00,2024/5/19,,"台風２３号で決壊した円山川堤防をウォーキングすることにより、
 防災・減災意識と市民の健康意識を高める事を目的とし、防災講和、
AED講習、非常食の試食、健康相談、災害時に役立つ電気自動車の展示
 等を行う予定としています。",総合体育館,総合体育館,0796-24-1810,,,市内全域,35.5392,134.827
竹でご飯を炊こう,2024/5/19,9:00,2024/5/19,13:00,"・サツマイモ植え
・竹細工で飯ごうや箸､皿を作る
・竹の飯ごうでご飯を炊いて食べる
・梅干し、フキの炒め物",クリーンパーク北但,クリーンパーク北但,0796-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.5889,134.7275
認知能力・非認知能力を育てる 中国語母語教室,2024/5/19,10:00,2024/5/19,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
豊岡市生きもの共生の日,2024/5/20,9:00,2024/5/20,17:00,放鳥したコウノトリから、野外で43年ぶりにひなが誕生した平成19年5月20日を記念して制定した「豊岡市生きもの共生の日」,豊岡市役所,コウノトリ共生課,0796-21-9017,,,市内全域,35.5445,134.8202
城崎温泉　あやめ月間,2024/5/20,,2024/6/20,,"城崎では、この時期に見ごろを迎える「あやめ」が温泉街各所で楽しめます。
※イベント実施期間はあやめの開花状況によって変更します。",城崎温泉街,（一社）城崎温泉観光協会,0796-32-3663,,,城崎,35.6238,134.8132
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/24,10:30,2024/5/24,11:30,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
豊岡ノーマイカーデー,2024/5/24,0:00,2024/5/24,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/5/25,10:45,2024/5/25,11:45,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,34.69,135.1827
多文化交流サロン,2024/5/25,13:30,2024/5/25,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,NPO法人にほんご豊岡あいうえお,0796-20-4037,,,豊岡,35.5559,134.8004
子ども写生会　?いずし城下を描く?　,2024/5/25,9:00,2024/5/25,15:00,出石城下の歴史遺産に触れながら、自然を描く写生会,美術館「伊藤清永記念館」,美術館「伊藤清永記念館」,0796-52-5456,,https://www.city.toyooka.lg.jp/1019810/1019847/itoh-museum/,出石,35.4618,134.8729
レッツチャレンジ！ニュースポーツ,2024/5/26,,2024/5/26,,「いつでも・どこでも・だれとでも」気軽に行えるニュースポーツ体験交流会,全但バス但馬ドーム　ドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6868
鶴見茶屋,2024/5/26,10:00,2024/5/26,,豊岡高校茶道部によるお茶会,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
植物観察会,2024/5/26,13:00,2024/5/26,15:00,春の植物の観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
寄せ植え教室,2024/5/26,,2024/5/26,,春の花を使った寄せ植え教室（定員20名）,道の駅「神鍋高原」,道の駅「神鍋高原」,0796-45-1331,,,日高,35.4992,134.675
子どもたちが豊岡で世界と出会う音楽祭 ｢第10回おんぷの祭典｣,2024/5/28,10:00,2024/6/2,,"子どもたちが世界で活躍する音楽家と触れ合う機会を通じ、豊岡に居ながら世界とつながることができる音楽祭「おんぷの祭典」を開催。
アニバーサリーとなる第10回目の今年は、プログラムをグレードアップし、大人も一緒に楽しめるクラシック音楽をお届けする。",市内全域,文化・スポーツ振興課,0796-23-1160,,https://onpunosaiten.com/,市内全域,35.5446,134.8202
