行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
女性のためのリーダーシッププログラム　第2回セミナー,2024/10/18,13:30,2024/10/18,16:30,"女性が職場で力を発揮するために必要なスキルをマインドセットを学ぶ、全2回の講座です。第2回セミナーを下記の通り開催します。
第2回「""見えない壁""を越えるために必要なものとは?!」
講師：中野円佳さん (東京大学多様性包摂共創センターDEI共創推進戦略室准教授)
第1部：講義　女性が職場でリーダーシップを発揮する上で壁になっているものを知る
第2部：ディスカッション　市内事業所の先輩の話を聞こう！
第3部：ワークショップ　経営・組織に向けて提言しよう！
",豊岡市役所　3階庁議室,豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1030566.html,豊岡,35.5445,134.8202
事業承継 無料個別相談会,2024/10/18,11:00,2024/10/18,15:15,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡市商工会本部（豊岡市日高町祢布920　豊岡市役所日高振興局2階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,豊岡市商工会本所　0796-42-4751,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,日高,35.4703,134.771
としょかん映画会,2024/10/18,10:30,2024/10/18,,『いちげき』（2023年/89分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
アイラ・メルコニアン／The Rubberbodies Collective 『Blood Thirsty』オープンリハーサル,2024/10/19,14:00,2024/10/19,16:00,マルタ共和国とオランダを拠点に活動するウクライナ人アーティストで生物学者のアイラ・メルコニアンが、血液についてのリサーチをもとに取り組む滞在制作。レクチャー形式のパフォーマンスを創作し、その成果を発表する。終演後には観客を交えたトークを行う。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
リサイクルブックフェア(但東),2024/10/19,10:00,2024/10/19,14:00,保存期限を経過した雑誌・不要となった本を無料で提供。,但東振興局2階 大会議室,図書館但東分館,0796-21-9036,,,但東,35.058,135.6029
コウノトリ感謝祭,2024/10/19,9:00,2024/10/20,15:00,フードやコウノトリグッズの販売、田んぼの学校とふるまい鍋など,コウノトリの郷公園周辺,コウノトリ共生課,0796-21-9017,,https://www.city.toyooka.lg.jp/konotori/index.html,豊岡,35.5514,134.8552
公開シンポジウム「人と風土が育んだ地域の宝・但馬牛」,2024/10/19,13:30,2024/10/19,16:00,①但馬牛改良の現状と推進方向　②世界農業遺産認定について　③これからの和牛の価値は肉だけじゃない‐と題して講演,豊岡市民プラザほっとステージ,第61回肉用牛研究会兵庫大会事務局,0,,,豊岡,35.5444,134.8149
わいわいフェスタ（人権啓発親子向けイベント）,2024/10/19,10:00,2024/10/19,14:00,"じんけん街角コンサート
「泣いて笑って」－いのちをまんなかに－
　つながりあそび・うた研究所　
　主任　町田浩志さん　　　　　　ほか
",市役所但東庁舎前広場,但東庁舎,0796-21-9032,,,但東,35.4704,134.9499
豊岡みらいチャレンジ塾2024　第4回セミナー,2024/10/19,13:30,2024/10/19,16:30,"豊岡みらいチャレンジ塾は、メディアやシンクタンク、人材育成、NPOなどの分野で活躍するゲストと豊岡市内で活躍するロールモデル、仲間との対話を通して、思いをカタチにするために必要な知識とスキルを身につける女性のためのプログラムです。プログラムは全5回で、第4回のセミナーを下記の内容で開催します。
第4回「みらいを変える力を学ぼう② ～""世界最高のプレゼンテーション""を学ぶ～」
講師：岡本純子さん (コミュニケーション戦略研究家)
内容：周囲を動かすプレゼンテーションを学びます。",豊岡市役所,豊岡市多様性推進・ジェンダーギャップ対策課,0796-21-9004,,https://www.city.toyooka.lg.jp/kurashi/1007000/1029006/1029688.html,豊岡,35.5445,134.8202
としょかん映画会,2024/10/19,13:30,2024/10/19,,『いちげき』（2023年/89分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.5411,134.822
田んぼの学校,2024/10/20,9:30,2024/10/20,12:00,アカトンボ探し,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
有子山城築城450年・出石城築城420年記念出石城跡一斉クリーン作戦,2024/10/20,9:30,2024/10/20,12:00,"有子山城築城450年・出石城築城420年を記念し、出石城下町の関係団体、豊岡市消防本部出石分署、地域住民合同で、石垣・公園周辺の除草、ゴミ拾い等の一斉清掃活動を行う。
なお、出石城石垣の除草作業は、消防署員が高所作業訓練として、石垣上部からロープで下降しながら行う。",出石城跡・出石城公園周辺,豊岡市出石振興局地域振興課,0796-52-3111,,,出石,35.4614,134.8748
いも掘り、キノコ教室,2024/10/20,9:00,2024/10/20,13:00,"・サツマイモの収穫
・キノコ狩り
・稲の足踏み脱穀　
・そばの収穫",クリーンパーク北但,クリーンパーク北但,0796-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.589,134.7271
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/21,10:30,2024/10/21,11:30,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,35.4702,134.9499
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/25,14:00,2024/10/25,15:00,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,35.4703,134.7711
豊岡市サッカー教室,2024/10/25,,2024/10/25,,ヴィッセル神戸のスクールコーチを各学校に派遣しサッカーの楽しさを子どもたちに知ってもらうため、基本的な技術指導のほかミニゲームなどを行う。,市内小学校,文化・スポーツ振興課,0796-21-9023,,,市内全域,,
豊岡ノーマイカーデー,2024/10/25,0:00,2024/10/25,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
リサイクルブックフェア(竹野),2024/10/26,10:00,2024/10/27,15:00,保存期限を経過した雑誌・不要となった本を無料で提供。,竹野振興局1階 大会議室,図書館竹野分館,0796-21-9078,,,竹野,35.5401,134.8216
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/26,14:00,2024/10/26,15:00,図書館による託児サービス,図書館竹野分館,図書館本館,0796-23-6151,,,竹野,35.6499,134.7578
城崎大橋早期完成・桃島バイパス早期工事着工促進大会,2024/10/26,10:30,2024/10/26,12:00,城崎大橋の工事の現状を知るとともに、城崎大橋の早期完成と桃島バイパス工事着工の早期実現を図るため、住民の思いを伝える大会。,城崎小学校　体育館,城崎小学校,0796-21-9065,,,城崎,35.623,134.8121
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/27,10:30,2024/10/27,11:30,図書館による託児サービス,図書館出石分館,図書館本館,0796-23-6151,,,出石,35.4616,134.8752
植物観察会,2024/10/27,13:00,2024/10/27,15:00,秋の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
【無料開放】玄武洞公園特別イベント「岩音2024 Vol.2」,2024/10/27,16:00,2024/10/27,17:00,カネコアヤノ（シンガーソングライター） ライブ,玄武洞公園,豊岡市観光政策課,0796-21-9016,,https://toyooka-tourism.com/news/28251/,豊岡,35.5881,134.8047
第33回マロニエまつり･ＪＡたじま日高ふれあいまつり,2024/10/27,10:00,2024/10/27,,実りの秋！地元で採れた新米や新鮮野菜が並ぶ。,道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.675
認知能力・非認知能力を育てる 中国語母語教室,2024/10/27,10:00,2024/10/27,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
がっせぇアート展,2024/10/27,10:00,2024/11/3,15:00,但馬地域の障害のある方が制作された作品を展示する。,豊岡稽古堂,NPO法人がっせぇアート,079-660-3446,,,豊岡,35.5442,134.8202
ニール・ラック ナイトツアー『Sensible Activities』,2024/10/30,19:30,2024/10/31,21:00,ロンドンを拠点に活動する音楽家でアーティストのニール・ラックによる、人の感覚についてのアートプロジェクト。アーティストのガイドのもと、夜のまちに出かけ、さまざまな音に耳をすまし、風景に目をこらすことで、全身の感覚を研ぎ澄ませて、普段とは異なる角度から世界を感じてみましょう。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/10/30,10:30,2024/10/30,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
第75回豊岡市美術展,2024/10/31,9:00,2024/11/4,17:00,一般の部、児童生徒の部ほか、招待作家、特別招待作家、特別支援学級児童による展示。ジャンルは絵画、書道、写真、彫刻・工芸の4部門。,総合体育館,文化・スポーツ振興課,0796-23-1160,,,豊岡,35.5392,134.827
