都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,遺跡番号,遺跡名称,名称_カナ,遺跡の種類,遺跡の時代,所在地,電話番号,備考
202142,400090016,長野県,茅野市,16,矢の口,ヤノクチ,集落跡,縄文・平安,長野県茅野市北山湯川,0266-76-2386,
202142,400090017,長野県,茅野市,17,上之段,ウエノダン,集落跡,縄文・弥生・平安,長野県茅野市北山湯川,0266-76-2386,
202142,400090018,長野県,茅野市,18,高風呂,タカブロ,集落跡,縄文,長野県茅野市北山湯川,0266-76-2386,
202142,400090019,長野県,茅野市,19,窪田,クボタ,集落跡,縄文,長野県茅野市北山湯川,0266-76-2386,
202142,400090020,長野県,茅野市,20,枡形,マスガタ,集落跡・城館跡,縄文・平安・中世,長野県茅野市北山湯川,0266-76-2386,
202142,400090021,長野県,茅野市,21,上の平,ウエノダイラ,集落跡,縄文,長野県茅野市北山湯川,0266-76-2386,
202142,400090022,長野県,茅野市,22,湯川経塚,ユガワキョウヅカ,経塚,中世,長野県茅野市北山湯川,0266-76-2386,
202142,400090023,長野県,茅野市,23,イモリ沢,イモリザワ,集落跡,縄文,長野県茅野市北山湯川,0266-76-2386,
202142,400090024,長野県,茅野市,24,上ゲ溝,アゲミゾ,集落跡,縄文,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090025,長野県,茅野市,25,横山,ヨコヤマ,集落跡,縄文,長野県茅野市米沢塩沢,0266-76-2386,
202142,400090026,長野県,茅野市,26,上の平,ウエノダイラ,散布地・集落跡,旧石器・縄文・中世,長野県茅野市米沢塩沢,0266-76-2386,
202142,400090027,長野県,茅野市,27,丸山,マルヤマ,集落跡,縄文,長野県茅野市米沢塩沢,0266-76-2386,
202142,400090028,長野県,茅野市,28,よせの台,ヨセノダイ,集落跡,縄文,長野県茅野市米沢塩沢,0266-76-2386,
202142,400090029,長野県,茅野市,29,芝ノ木,シバノキ,集落跡,旧跡・縄文・弥生・中世,長野県茅野市米沢塩沢・北大塩,0266-76-2386,
202142,400090030,長野県,茅野市,30,一ノ瀬,イチノセ,散布地・集落跡,旧石器・縄文・平安・近世,長野県茅野市米沢塩沢・北大塩,0266-76-2386,
202142,400090031,長野県,茅野市,31,鳥の窪,トリノクボ,集落跡,縄文・中世,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090032,長野県,茅野市,32,大六殿上,ダイロクデンウエ,集落跡,平安,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090033,長野県,茅野市,33,大六殿,ダイロクデン,集落跡,縄文・平安・近現代,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090034,長野県,茅野市,34,駒形,コマガタ,散布地・集落跡,旧石器・縄文・平安,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090035,長野県,茅野市,35,大清水,オオシミズ,散布地,縄文,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090036,長野県,茅野市,36,上の山,ウエノヤマ,集落跡,縄文,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090037,長野県,茅野市,37,向林,ムカイバヤシ,集落跡,縄文,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090038,長野県,茅野市,38,三軒屋,サンゲンヤ,集落跡,縄文,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090039,長野県,茅野市,39,大桜,オオザクラ,集落跡,縄文・弥生・平安,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090040,長野県,茅野市,40,八幡坂,ハチマンザカ,集落跡,縄文・中世,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090041,長野県,茅野市,41,中ノ平,ナカノダイラ,集落跡,縄文,長野県茅野市米沢鋳物師屋,0266-76-2386,
202142,400090042,長野県,茅野市,42,丸山,マルヤマ,集落跡,縄文,長野県茅野市米沢北大塩,0266-76-2386,
202142,400090043,長野県,茅野市,43,蛇石,ヘビイシ,集落跡,縄文,長野県茅野市米沢鋳物師屋,0266-76-2386,
202142,400090044,長野県,茅野市,44,棚畑,タナバタケ,散布地・集落跡,旧石器・縄文・平安・近世,長野県茅野市米沢埴原田,0266-76-2386,
202142,400090045,長野県,茅野市,45,痩尾根,ヤセオネ,集落跡,縄文,長野県茅野市湖東白井出,0266-76-2386,
202142,400090046,長野県,茅野市,46,床滑,トコナメ,生産遺跡,縄文,長野県茅野市北山糸萱,0266-76-2386,
202142,400090047,長野県,茅野市,47,下尾根,シモオネ,集落跡,縄文,長野県茅野市湖東笹原,0266-76-2386,
202142,400090048,長野県,茅野市,48,桂井戸,カツライド,集落跡,縄文,長野県茅野市湖東笹原,0266-76-2386,
202142,400090049,長野県,茅野市,49,尾根,オネ,集落跡,縄文,長野県茅野市湖東須栗平,0266-76-2386,
202142,400090050,長野県,茅野市,50,長峯,ナガミネ,散布地・集落跡,旧石器・縄文,長野県茅野市北山芹ヶ沢・糸萱,0266-76-2386,
202142,400090051,長野県,茅野市,51,聖石,ヒジリイシ,散布地・集落跡,旧石器・縄文・平安,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090052,長野県,茅野市,52,滝之脇,タキノワキ,集落跡,縄文,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090053,長野県,茅野市,53,神ノ木,カミノキ,集落跡,縄文,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090054,長野県,茅野市,54,上ッ原,ウワッパラ,集落跡,縄文,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090055,長野県,茅野市,55,下ッ原,シモッパラ,集落跡,縄文,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090056,長野県,茅野市,56,下島,シモジマ,集落跡,縄文・弥生,長野県茅野市北山芹ヶ沢,0266-76-2386,
202142,400090057,長野県,茅野市,57,松原,マツバラ,集落跡,縄文,長野県茅野市湖東山口,0266-76-2386,
202142,400090058,長野県,茅野市,58,山口,ヤマグチ,集落跡,縄文,長野県茅野市湖東山口,0266-76-2386,
202142,400090059,長野県,茅野市,59,新井下,アライシタ,集落跡,縄文・平安,長野県茅野市湖東新井,0266-76-2386,
202142,400090060,長野県,茅野市,60,中ッ原,ナカッパラ,集落跡,縄文,長野県茅野市湖東山口,0266-76-2386,
202142,400090061,長野県,茅野市,61,花蒔,ハナマキ,集落跡,縄文,長野県茅野市湖東花蒔,0266-76-2386,
202142,400090062,長野県,茅野市,62,辻屋,ツジヤ,集落跡,縄文,長野県茅野市湖東中村,0266-76-2386,
202142,400090063,長野県,茅野市,63,中村,ナカムラ,集落跡,縄文,長野県茅野市湖東中村,0266-76-2386,
202142,400090064,長野県,茅野市,64,下菅沢,シモスゲサワ,集落跡,縄文,長野県茅野市中大塩,0266-76-2386,
202142,400090065,長野県,茅野市,65,高尾戸,タカオド,集落跡,平安,長野県茅野市中大塩,0266-76-2386,
202142,400090066,長野県,茅野市,66,上半田,カミハンダ,集落跡,弥生・平安,長野県茅野市豊平福沢,0266-76-2386,
202142,400090067,長野県,茅野市,67,子の神,ネノカミ,集落跡,縄文,長野県茅野市豊平福沢,0266-76-2386,
202142,400090068,長野県,茅野市,68,中原,ナカッパラ,集落跡,縄文・近代,長野県茅野市豊平福沢・下菅沢,0266-76-2386,
202142,400090069,長野県,茅野市,69,宮の上,ミヤノウエ,集落跡,縄文・弥生,長野県茅野市豊平福沢,0266-76-2386,
202142,400090070,長野県,茅野市,70,八幡社前,ハチマンシャマエ,集落跡,平安,長野県茅野市豊平山寺,0266-76-2386,
202142,400090071,長野県,茅野市,71,山寺,ヤマデラ,集落跡,平安・中世,長野県茅野市豊平山寺,0266-76-2386,
202142,400090072,長野県,茅野市,72,経塚,キョウヅカ,集落跡,縄文・中世,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090073,長野県,茅野市,73,権現林,ゴンゲンバヤシ,集落跡,縄文・平安,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090074,長野県,茅野市,74,日向上,ヒナタウエ,集落跡,縄文・平安・中世,長野県茅野市豊平塩之目,0266-76-2386,
202142,400090075,長野県,茅野市,75,塩之目尻,シオノメジリ,集落跡,縄文・平安,長野県茅野市豊平塩之目,0266-76-2386,
202142,400090076,長野県,茅野市,76,中ツルネ,ナカツルネ,集落跡,縄文・弥生・平安,長野県茅野市豊平塩之目,0266-76-2386,
202142,400090077,長野県,茅野市,77,梨ノ木,ナシノキ,集落跡・生産遺跡,縄文・平安・中世,長野県茅野市豊平下古田,0266-76-2386,
202142,400090078,長野県,茅野市,78,師岡平,モロオカダイラ,集落跡・生産遺跡,縄文・中世・近世以降,長野県茅野市豊平上古田,0266-76-2386,
202142,400090079,長野県,茅野市,79,向原,ムカイッパラ,散布地・集落跡,旧石器・縄文・中世,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090080,長野県,茅野市,80,立石,タテイシ,集落跡,縄文・平安,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090081,長野県,茅野市,81,城,ジョウ,集落跡,縄文・平安,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090082,長野県,茅野市,82,水尻,ミズジリ,集落跡,縄文,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090083,長野県,茅野市,83,中ッ原Ａ,ナカッパラエー,集落跡,縄文・平安,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090084,長野県,茅野市,84,神立林,カンダチバヤシ,集落跡,縄文・平安,長野県茅野市豊平南大塩,0266-76-2386,
202142,400090085,長野県,茅野市,85,与助尾根,ヨスケオネ,集落跡,縄文・平安,長野県茅野市豊平広見,0266-76-2386,
202142,400090086,長野県,茅野市,86,与助尾根南,ヨスケオネミナミ,集落跡・生産遺跡,縄文・平安,長野県茅野市豊平広見,0266-76-2386,
202142,400090087,長野県,茅野市,87,尖石,トガリイシ,集落跡,縄文,長野県茅野市豊平広見,0266-76-2386,
202142,400090088,長野県,茅野市,88,竜神平,リュウジンダイラ,集落跡,縄文・平安,長野県茅野市豊平広見,0266-76-2386,
202142,400090089,長野県,茅野市,89,新水掛Ａ,シンミズカケエー,集落跡,縄文,長野県茅野市豊平上場沢,0266-76-2386,
202142,400090090,長野県,茅野市,90,鴨田,カモダ,散布地・集落跡,旧石器・縄文・平安,長野県茅野市豊平上場沢,0266-76-2386,
202142,400090091,長野県,茅野市,91,稗田頭Ａ,ヒエダガシラエー,散布地・集落跡,旧石器・縄文・弥生・平安,長野県茅野市泉野下槻木,0266-76-2386,
202142,400090092,長野県,茅野市,92,中原,ナカッパラ,集落跡,縄文,長野県茅野市泉野下槻木,0266-76-2386,
202142,400090093,長野県,茅野市,93,細沢,ホソザワ,集落跡,縄文,長野県茅野市泉野上槻木,0266-76-2386,
202142,400090094,長野県,茅野市,94,棚畑,タナバタケ,集落跡,縄文・弥生・平安,長野県茅野市ちの城山,0266-76-2386,
202142,400090095,長野県,茅野市,95,西入矢穴１号古墳,ニシイリヤアナイチゴウコフン,古墳,古墳,長野県茅野市ちの本町,0266-76-2386,
202142,400090096,長野県,茅野市,96,中矢穴１号古墳,ナカヤアナイチゴウコフン,古墳,古墳,長野県茅野市ちの本町,0266-76-2386,
202142,400090097,長野県,茅野市,97,矢穴２号古墳,ヤアナニゴウコフン,古墳,古墳,長野県茅野市ちの本町,0266-76-2386,
202142,400090098,長野県,茅野市,98,矢穴,ヤアナ,集落跡,縄文・平安,長野県茅野市ちの本町,0266-76-2386,
202142,400090099,長野県,茅野市,99,釜石古墳,カマイシコフン,古墳,古墳,長野県茅野市ちの塚原,0266-76-2386,
202142,400090100,長野県,茅野市,100,十二坊古墳,ジュウニボウコフン,古墳,古墳,長野県茅野市ちの上原,0266-76-2386,
202142,400090101,長野県,茅野市,101,永明寺,エイメイジ,集落跡,縄文・平安・中世,長野県茅野市ちの上原,0266-76-2386,
202142,400090102,長野県,茅野市,102,上原城跡,ウエハラジョウセキ,城館跡,中世,長野県茅野市ちの上原,0266-76-2386,
202142,400090103,長野県,茅野市,103,鉄古塚（鉄甲塚）古墳,テッコヅカコフン,古墳,古墳,長野県茅野市ちの上原,0266-76-2386,
202142,400090104,長野県,茅野市,104,地蔵堂,ジゾウドウ,集落跡,縄文,長野県茅野市ちの上原,0266-76-2386,
202142,400090105,長野県,茅野市,105,藤塚古墳,フジヅカコフン,古墳,古墳,長野県茅野市ちの上原,0266-76-2386,
202142,400090106,長野県,茅野市,106,一本椹古墳,イッポンザワラコフン,古墳,古墳,長野県茅野市ちの塚原,0266-76-2386,
202142,400090107,長野県,茅野市,107,一本椹,イッポンザワラ,集落跡,縄文・弥生・古墳・平安・中世,長野県茅野市ちの塚原,0266-76-2386,
202142,400090108,長野県,茅野市,108,永明中学校グラウンド,エイメイチュウガッコウグラウンド,集落跡,弥生・平安・近世,長野県茅野市ちの塚原,0266-76-2386,
202142,400090109,長野県,茅野市,109,光明寺,コウミョウジ,集落跡,縄文・平安,長野県茅野市ちの上原,0266-76-2386,
202142,400090110,長野県,茅野市,110,家下,イエシタ,集落跡,縄文・弥生・古墳・奈良・平安･中世・近世,長野県茅野市ちの横内,0266-76-2386,
202142,400090111,長野県,茅野市,111,一ノ坪古墳,イチノツボコフン,古墳,古墳,長野県茅野市ちの横内,0266-76-2386,
202142,400090112,長野県,茅野市,112,下蟹河原,シモガニガワラ,集落跡,弥生・古墳・平安・中世,長野県茅野市ちの横内,0266-76-2386,
202142,400090113,長野県,茅野市,113,姥塚古墳,ウバヅカコフン,古墳,古墳,長野県茅野市ちの茅野町,0266-76-2386,
202142,400090114,長野県,茅野市,114,大塚古墳,オオツカコフン,古墳,古墳,長野県茅野市ちの仲町,0266-76-2386,
202142,400090115,長野県,茅野市,115,原地,ハラチ,集落跡,縄文・平安,長野県茅野市ちの塚原,0266-76-2386,
202142,400090116,長野県,茅野市,116,塚の越古墳,ツカノコシコフン,古墳,古墳,長野県茅野市ちの本町,0266-76-2386,
202142,400090117,長野県,茅野市,117,王経塚古墳,オオキョウヅカコフン,古墳,古墳・平安,長野県茅野市ちの本町,0266-76-2386,
202142,400090118,長野県,茅野市,118,神長官裏古墳,ジンチョウカンウラコフン,古墳,古墳・平安,長野県茅野市宮川高部,0266-76-2386,
202142,400090119,長野県,茅野市,119,疱瘡神塚古墳,ホウソウガミヅカコフン,古墳,古墳・平安,長野県茅野市宮川高部,0266-76-2386,
202142,400090120,長野県,茅野市,120,乞食塚古墳,コジキヅカコフン,古墳,古墳・奈良以降,長野県茅野市宮川高部,0266-76-2386,
202142,400090121,長野県,茅野市,121,神袋塚古墳,カンブクロヅカコフン,古墳,古墳,長野県茅野市宮川高部,0266-76-2386,
202142,400090122,長野県,茅野市,122,塚屋古墳,ツカヤコフン,古墳,古墳,長野県茅野市宮川高部,0266-76-2386,
202142,400090123,長野県,茅野市,123,高部,タカベ,集落跡,縄文・弥生・古墳・奈良・平安・中世･近世,長野県茅野市宮川高部,0266-76-2386,
202142,400090124,長野県,茅野市,124,蛇塚古墳,ヘビヅカコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090125,長野県,茅野市,125,前宮古墳,マエミヤコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090126,長野県,茅野市,126,石塚古墳,イシヅカコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090127,長野県,茅野市,127,樋沢古墳,ヒザワコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090128,長野県,茅野市,128,芳久保古墳,ヨシクボコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090129,長野県,茅野市,129,前宮,マエミヤ,集落跡,縄文・弥生・古墳・奈良・平安・中世・近世,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090130,長野県,茅野市,130,常坊主１号古墳,ジョウボウズイチゴウコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090131,長野県,茅野市,131,山ノ神古墳,ヤマノカミコフン,古墳,古墳,長野県茅野市宮川小町屋,0266-76-2386,
202142,400090132,長野県,茅野市,132,干沢城跡,ヒザワジョウセキ,集落跡,縄文・平安・中世,長野県茅野市宮川安国寺・小町屋,0266-76-2386,
202142,400090133,長野県,茅野市,133,御越古墳群,オッコシコフングン,古墳,古墳,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090134,長野県,茅野市,134,小飼通,コガイドオリ,集落跡,縄文・弥生・古墳・平安・中世,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090135,長野県,茅野市,135,籠り塚古墳,コモリヅカコフン,古墳,古墳,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090136,長野県,茅野市,136,塚屋古墳,ツカヤコフン,古墳,古墳,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090137,長野県,茅野市,137,百々通古墳,ドウドウドオリコフン,古墳,古墳,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090138,長野県,茅野市,138,裏の山,ウラノヤマ,集落跡,縄文,長野県茅野市宮川西茅野,0266-76-2386,
202142,400090139,長野県,茅野市,139,小飼通古墳,コガイドオリコフン,古墳,古墳,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090140,長野県,茅野市,140,山の神（横山）,ヤマノカミ（ヨコヤマ）,集落跡,縄文・平安,長野県茅野市宮川西山,0266-76-2386,
202142,400090141,長野県,茅野市,141,晴ケ峯,ハレガミネ,集落跡,縄文,長野県茅野市宮川安国寺,0266-76-2386,
202142,400090142,長野県,茅野市,142,四ツ塚古墳群,ヨツヅカコフングン,古墳,古墳,長野県茅野市宮川茅野,0266-76-2386,
202142,400090143,長野県,茅野市,143,御社宮司,ミシャグジ,集落跡,縄文・弥生・古墳・平安・中世・近世,長野県茅野市宮川茅野,0266-76-2386,
202142,400090144,長野県,茅野市,144,金鍔塚古墳,キンツバヅカコフン,古墳,古墳,長野県茅野市宮川茅野,0266-76-2386,
202142,400090145,長野県,茅野市,145,長峰,ナガミネ,散布地・集落跡,旧石器・縄文・平安,長野県茅野市宮川両久保,0266-76-2386,
202142,400090146,長野県,茅野市,146,狐久保,キツネクボ,集落跡,縄文,長野県茅野市宮川茅野,0266-76-2386,
202142,400090147,長野県,茅野市,147,林の峯,ハヤシノミネ,散布地・集落跡,旧石器・縄文・平安・中世,長野県茅野市宮川両久保,0266-76-2386,
202142,400090148,長野県,茅野市,148,雨降塚古墳,アメフリヅカコフン,古墳,古墳,長野県茅野市宮川坂室,0266-76-2386,
202142,400090149,長野県,茅野市,149,長峯（比丘尼原）,ナガミネ（ビクニッパラ）,集落跡,縄文,長野県茅野市宮川向ヶ丘・東向ヶ丘,0266-76-2386,
202142,400090150,長野県,茅野市,150,川久保古墳,カワクボコフン,古墳,古墳,長野県茅野市玉川荒神,0266-76-2386,
202142,400090151,長野県,茅野市,151,下河原,シモガワラ,集落跡,縄文・弥生,長野県茅野市玉川荒神,0266-76-2386,
202142,400090152,長野県,茅野市,152,石小屋１号古墳,イシゴヤイチゴウコフン,古墳,古墳,長野県茅野市玉川荒神,0266-76-2386,
202142,400090153,長野県,茅野市,153,京塚原,キョウヅカハラ,集落跡,縄文,長野県茅野市玉川荒神,0266-76-2386,
202142,400090154,長野県,茅野市,154,下ノ原,シモノハラ,集落跡・生産遺跡,縄文・平安,長野県茅野市玉川荒神,0266-76-2386,
202142,400090155,長野県,茅野市,155,中御前,ナカゴゼン,集落跡,縄文,長野県茅野市玉川荒神,0266-76-2386,
202142,400090156,長野県,茅野市,156,上の原,ウエノハラ,集落跡,縄文,長野県茅野市玉川粟沢,0266-76-2386,
202142,400090157,長野県,茅野市,157,和田日向,ワダヒナタ,集落跡,縄文,長野県茅野市玉川粟沢,0266-76-2386,
202142,400090158,長野県,茅野市,158,茅野和田,チノワダ,集落跡,縄文・古墳・平安,長野県茅野市玉川小泉,0266-76-2386,
202142,400090159,長野県,茅野市,159,久保川,クボカワ,集落跡,縄文,長野県茅野市玉川神之原,0266-76-2386,
202142,400090160,長野県,茅野市,160,小堂見,コドウミ,集落跡,縄文・平安・中世,長野県茅野市玉川神之原,0266-76-2386,
202142,400090161,長野県,茅野市,161,上御前,カミゴゼン,散布地・集落跡,旧石器・縄文・平安・中世,長野県茅野市玉川神之原,0266-76-2386,
202142,400090162,長野県,茅野市,162,藤塚,フジヅカ,集落跡,縄文,長野県茅野市玉川小堂見,0266-76-2386,
202142,400090163,長野県,茅野市,163,一本木,イッポンギ,集落跡,縄文,長野県茅野市玉川山田,0266-76-2386,
202142,400090164,長野県,茅野市,164,尾根田,オネダ,集落跡,縄文,長野県茅野市玉川山田,0266-76-2386,
202142,400090165,長野県,茅野市,165,中沢,ナカッサワ,集落跡,縄文,長野県茅野市玉川山田,0266-76-2386,
202142,400090166,長野県,茅野市,166,上の平,ウエノダイラ,集落跡,縄文・平安・中世,長野県茅野市豊平御作田,0266-76-2386,
202142,400090167,長野県,茅野市,167,日鴨寺,ヒガモジ,集落跡,縄文,長野県茅野市泉野中道,0266-76-2386,
202142,400090168,長野県,茅野市,168,上見,アゲミ,散布地・集落跡・生産遺跡,旧石器・縄文,長野県茅野市泉野下槻木,0266-76-2386,
202142,400090169,長野県,茅野市,169,鹿垣,シシガキ,集落跡,縄文,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090170,長野県,茅野市,170,馬捨場,ウマステバ,散布地・集落跡・生産遺跡,旧石器・縄文・中世,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090171,長野県,茅野市,171,山之神,ヤマノカミ,集落跡,縄文,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090172,長野県,茅野市,172,丸生戸,マロウド,集落跡,縄文,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090173,長野県,茅野市,173,城山城跡,ジョウヤマジョウセキ,集落跡,中世,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090174,長野県,茅野市,174,菖蒲沢Ⅲ,ショウブザワサン,集落跡,縄文・平安,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090175,長野県,茅野市,175,菖蒲沢Ⅱ,ショウブザワニ,集落跡,縄文,長野県茅野市泉野小屋場,0266-76-2386,
202142,400090176,長野県,茅野市,176,栃窪北,トチクボキタ,散布地,旧石器,長野県茅野市北山柏原,0266-76-2386,
202142,400090177,長野県,茅野市,177,夕立,ユウダチ,散布地・集落跡,旧石器・縄文,長野県茅野市泉野上槻木,0266-76-2386,
202142,400090178,長野県,茅野市,178,屋敷添,ヤシキゾイ,集落跡,縄文,長野県茅野市玉川菊沢,0266-76-2386,
202142,400090179,長野県,茅野市,179,古御堂,フルミドウ,集落跡,縄文・平安,長野県茅野市玉川北久保,0266-76-2386,
202142,400090180,長野県,茅野市,180,神垣外,カミガイト,集落跡,縄文・平安・中世,長野県茅野市宮川田沢,0266-76-2386,
202142,400090181,長野県,茅野市,181,大悦,ダイエツ,集落跡,縄文・平安,長野県茅野市宮川丸山,0266-76-2386,
202142,400090182,長野県,茅野市,182,大悦南,ダイエツミナミ,集落跡,縄文・平安,長野県茅野市宮川丸山,0266-76-2386,
202142,400090183,長野県,茅野市,183,勝山,カチヤマ,集落跡,縄文・古墳・平安,長野県茅野市宮川坂室,0266-76-2386,
202142,400090184,長野県,茅野市,184,ケツヨリ,ケツヨリ,集落跡,縄文・平安,長野県茅野市金沢木舟,0266-76-2386,
202142,400090185,長野県,茅野市,185,芝平,シバダイラ,集落跡,縄文,長野県茅野市金沢大池,0266-76-2386,
202142,400090186,長野県,茅野市,186,御湯の山,オユノヤマ,集落跡,平安,長野県茅野市金沢金沢下,0266-76-2386,
202142,400090187,長野県,茅野市,187,向坂,ムコウザカ,集落跡,縄文,長野県茅野市金沢金沢上,0266-76-2386,
202142,400090188,長野県,茅野市,188,天狗山,テングヤマ,集落跡,縄文・弥生・平安,長野県茅野市金沢金沢上,0266-76-2386,
202142,400090189,長野県,茅野市,189,芥沢,ゴミッサワ,集落跡,縄文・平安,長野県茅野市金沢大沢,0266-76-2386,
202142,400090190,長野県,茅野市,190,金沢台,カナザワダイ,集落跡,縄文,長野県茅野市金沢金沢台,0266-76-2386,
202142,400090191,長野県,茅野市,191,裏の山,ウラノヤマ,集落跡,縄文・平安,長野県茅野市金沢,0266-76-2386,
202142,400090192,長野県,茅野市,192,中平,ナカダイラ,集落跡,縄文・平安,長野県茅野市金沢,0266-76-2386,
202142,400090193,長野県,茅野市,193,上の原,ウエノハラ,集落跡,縄文,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090194,長野県,茅野市,194,判の木山西,ハンノキヤマニシ,集落跡・生産遺跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090195,長野県,茅野市,195,判の木山東,ハンノキヤマヒガシ,集落跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090196,長野県,茅野市,196,金山沢北,カナヤマザワキタ,集落跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090197,長野県,茅野市,197,頭殿沢上,トウドノサワウエ,集落跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090198,長野県,茅野市,198,御狩野,ミカリノ,集落跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090199,長野県,茅野市,199,頭殿沢,トウドノサワ,集落跡・生産遺跡,縄文・平安,長野県茅野市金沢御狩野,0266-76-2386,
202142,400090200,長野県,茅野市,200,辰野館前,タツノカンマエ,散布地,旧石器,長野県茅野市豊平,0266-76-2386,
202142,400090201,長野県,茅野市,201,御射鹿池下,ミシャカイケシタ,散布地,旧石器,長野県茅野市豊平,0266-76-2386,
202142,400090202,長野県,茅野市,202,糸萱,イトガヤ,集落跡,縄文,長野県茅野市北山糸萱,0266-76-2386,
