行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,備考,URL,エリア,緯度,経度
第227回サロンコンサート,2025/1/25,12:30,2025/1/25,,出演：よみしばい・ここwithクローバー,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,"場所：豊岡市民プラザ/交流サロン
参加料無料",,豊岡,35.5445,134.8149
KIACコミュニティプログラム2022-24 成果報告＆トーク「食べて、話して、考えよう！アートと地域文化のアーカイブ」」,2025/1/25,11:00,2025/1/25,16:00,2022年から3組のアーティストとともに取り組んできたコミュニティプログラムの3年間の活動を記録・発信する特設ウェブサイトの完成を記念して、それぞれの活動の成果を共有し、その意義や今後の活用の可能性を考える会。アーティストによる映像上映、カルタ披露、ミニコンサート、おでんの振る舞いなどを予定。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/1/25,10:30,2025/1/25,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
多文化交流サロン,2025/1/25,13:30,2025/1/25,,外国人市民が日本で生活していくために大切なことを学びます。防災のことや生活オリエンテーションを実施します。日本や外国の文化、行事等を通じた交流事業も行います。,WACCU TOYOOKA(Aity４階) 学習室,NPO法人にほんご豊岡あいうえお,0796-20-4037,,,豊岡,35.5559,134.8004
第33回出石高校卒業制作展,2025/1/25,9:30,2025/2/9,16:30,出石高校文化創造類型3年生による卒業制作展。高校生自身が展覧会の広報･企画･展示を行う。また、生徒によるイベントを実施する。,美術館「伊藤清永記念館」,美術館「伊藤清永記念館」,0796-52-5456,,https://www.city.toyooka.lg.jp/1019810/1019847/itoh-museum/,出石,35.4618,134.8729
スノーシュー体験,2025/1/26,13:00,2025/1/26,15:00,"雪が積もった里山を歩こう
",コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
節分のもちつきを楽しもう,2025/1/26,9:00,2025/1/26,13:00,"・もちつき
・もち花づくり",クリーンパーク北但,クリーンパーク北但,0796-21-9110,メール：event@hokutan.jp,http://www.hokutan.jp,竹野,35.589,134.7271
豊岡市工業会　新春交流会＆会員企業プレゼン大会,2025/1/29,15:00,2025/1/29,19:30,"講演会と企業プレゼン、懇親会を開催。一般参加可。
講演は、今年9月に発行されたイノベーション・マネジメントシステムの国際規格であるISO 56001について、長野県立大学名誉教授でJapan Innovation Networkの理事も務める、元 豊岡市副市長の真野毅氏が、この規格のエッセンスをわかりやすく解説し、新規事業開発に役立つ視点を提供する。",アールベルアンジェ豊岡,豊岡市工業会事務局（豊岡市 環境経済課内）,0796-21-9024,,,豊岡,35.5472,134.8139
ボーハールト／ファン・デル・スホート「How to be healthy in a sick world?」レジデンス成果発表,2025/1/30,19:00,2025/1/30,,オランダ・アムステルダムを拠点に活動するアーティスト・ユニット、ボーハールト／ファン・デル・スホートの二人が、「さまざまな課題を抱える現代において、人はどうすれば健康でいられるのか？」をテーマに、古くから湯治場として栄え、現在は温泉観光地として知られる城崎でのリサーチを通して創作する新作パフォーマンス。約1か月の滞在制作の成果を共有する。,城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.6291,134.7995
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
