行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問合せ先電話番号,備考,URL,エリア,緯度,経度
但馬ドームセンター棟ギャラリー,2025/5/22,,2025/6/12,,「香美町押し花額展」出展団体：香美町押し花グループ,センター棟ギャラリー,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
としょかんのじかん,2025/6/14,10:30,2025/6/14,12:00,おはなし会、おはなしのくにさんとあそぼう,図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
第17回神鍋高原キャベツまつり,2025/6/15,10:00,2025/6/15,,"神鍋高原特産のキャベツ販売
キャベツ焼振る舞い、キャベツ運び(小学生まで)、キャベツ大食い大会(大人の部)
※内容が変更になる場合あり",道の駅｢神鍋高原｣,道の駅｢神鍋高原｣,0796-45-1331,,,日高,35.4992,134.675
田んぼの学校,2025/6/15,9:30,2025/6/15,12:00,初夏のビオトープ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
ニトリJD.LEAGUE 2025 第９節豊岡ラウンド,2025/6/14,10:30,2025/6/15,,"女子ソフトボールにおける国内最上位リーグに所属する、地元兵庫のシオノギ、デンソー（愛知県）、大垣ミナモ（岐阜県）、タカギ北九州（福岡県）の４チームが但馬ドームで熱戦を繰り広げる。
",全但バス但馬ドーム,ニトリJD.LEAGUE豊岡ラウンド実行委員会事務局,0796-42-2505,,https://jdleague.jp/,日高,35.4937,134.6868
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/6/15,10:30,2025/6/15,11:30,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
としょかん映画会,2025/6/20,10:30,2025/6/20,12:10,コーヒーはホワイトで(2024年/100分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
としょかん映画会,2025/6/21,13:30,2025/6/21,15:10,コーヒーはホワイトで(2024年/100分),図書館本館　視聴覚･講演室,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
植物観察会,2025/6/22,13:00,2025/6/22,15:00,植物の観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
出石としょかん･くらぶ,2025/6/22,14:00,2025/6/22,15:00,絵本の読み聞かせ、工作,図書館出石分館,図書館出石分館,0796-21-9010,,,出石,35.4616,134.8752
一般公募　普通救命講習,2025/6/22,9:00,2025/6/22,11:00,市民を対象に普通救命講習を行う,城崎市民センター,豊岡消防署救急係,0796-24-8038,,,城崎,35.6287,134.8134
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2025/6/23,14:00,2025/6/23,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
豊岡ノーマイカーデー,2025/6/27,0:00,2025/6/27,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
あぜ道観察会,2025/6/29,9:30,2025/6/29,11:30,コウノトリの郷公園内やその周辺のあぜ道を歩きながら、その季節に見られるいろんな虫やカエル、草の名前を調べます。,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
