行事・イベント名,実施予定日（始期）,開始時間,実施予定日（終期）,終了時刻,内容,開催場所,問合せ先,問い合わせ先電話番号,備考,URL,エリア,緯度,経度
第16回神鍋高原キャベツまつり,2024/6/16,,2024/6/16,,神鍋高原のキャベツ特売、キャベツの大食い競争など。,道の駅「神鍋高原」,道の駅「神鍋高原」,0796-45-1331,,,日高,35.4992,134.675
アカペラコンサート「アカッペランカイ！」,2024/6/16,14:00,2024/6/16,15:30,豊岡市民プラザ開館20周年を記念した市民企画。西日本を中心に活動するアカペラグループ「Be in Voices」によるコンサート。,豊岡市民プラザ,豊岡市民プラザ,0796-24-3000,,,豊岡,35.5445,134.8149
田んぼの学校,2024/6/16,9:30,2024/6/16,12:00,初夏のビオトープ,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
第59回企画展　学芸員の推し！収蔵品展　展示解説,2024/6/16,10:00,2024/6/16,11:00,展示物を分かりやすく解説する。,歴史博物館「但馬国府・国分寺館」,歴史博物館「但馬国府・国分寺館」,0796-42-6111,,https://www3.city.toyooka.lg.jp/kokubunjikan/,日高,35.4697,134.7676
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/17,14:00,2024/6/17,15:00,図書館による託児サービス,図書館但東分館,図書館本館,0796-23-6151,,,但東,35.4702,134.9499
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/17,14:00,2024/6/17,15:00,図書館による託児サービス,図書館城崎分館,図書館本館,0796-23-6151,,,城崎,35.6284,134.8133
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/19,14:00,2024/6/19,15:00,図書館による託児サービス,図書館本館,図書館本館,0796-23-6151,,,豊岡,35.541,134.8219
IPPO TOYOOKA　起業セミナー,2024/6/21,18:00,2024/6/21,20:00,"「京都与謝野で挑む地域ビジネス創出」
起業家を講師に招き、実際の起業経験や地域での取組みについて紹介します。参加費は無料です。完全予約制・先着順ですので、事前にお申込みください。",コワーキングスペース FLAP TOYOOKA（豊岡市大磯町1番79号　じばさんTAJIMA5階）,豊岡市役所　環境経済課　経済政策係,0796-23-4480,,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1029474.html,豊岡,35.5398,134.8257
事業承継 無料個別相談会,2024/6/21,11:00,2024/6/21,15:15,"個人事業主・中小企業の事業承継に精通した兵庫県事業承継・引継ぎ支援センターの相談員による出張相談会を開催します。
完全予約制・先着順ですので、開催日の１週間前までにお申し込みください。",豊岡市商工会本部（豊岡市日高町祢布920　豊岡市役所日高振興局2階）,兵庫県事業承継・引継ぎ支援センター,078-303-2299,,https://www.city.toyooka.lg.jp/sangyo/kigyoshien/sogyoshien/1022664.html,日高,35.4703,134.771
NIGHT YOGA ー夜空でヨガー,2024/6/21,19:00,2024/6/21,20:00,"6月21日(金)は国際ヨガデーです。世界中の人々がヨガを楽しむ日に屋外にてヨガ＆ボディバランスプログラムの特別レッスンを行います。
対象：どなたでも参加OK（会員外、お子様も参加OK）
料金：無料
定員：なし
持ち物：飲み物、タオル、ヨガマット
※マットの貸出はございますが数に限りがございます。

≪注意事項≫
・事前予約、受付はございません。
・当日入場前に多目的コート前にて受付をお願いします。
・途中の入退場は自由にしてただいて構いません。
・雨天の場合は中止とさせていただきます。
・中止の場合はHPまたは、ブログにてお知らせいたします。",豊岡市立総合健康ゾーン健康増進施設「ウェルストーク豊岡」,健康増進施設「ウェルストーク豊岡」,0796-24-0582,,https://information.konamisportsclub.jp/trust/toyooka/news/?id=9741,豊岡,35.5423,134.8279
植物観察会,2024/6/23,13:00,2024/6/23,15:00,初夏の植物を観察,コウノトリ文化館,コウノトリ文化館,0796-23-7750,,,豊岡,35.5514,134.8552
認知能力・非認知能力を育てる 中国語母語教室,2024/6/23,10:00,2024/6/23,12:00,中国語の母語教室。座学と演劇ワークショップの実施。,芸術文化観光専門職大学,芸術文化観光専門職大学　姚瑶（ようよう）研究室,0796-34-8446,,,豊岡,,
一般公募　普通救命講習,2024/6/23,9:00,2024/6/23,11:00,普通救命講習を行う,竹野地区コミュニティセンター,竹野地区コミュニティセンター,0796-24-1119,,,竹野,35.6501,134.7579
第34回但馬ドーム杯グラウンド･ゴルフ交流大会予選,2024/6/26,,2024/6/27,,"但馬ドームグラウンド･ゴルフクラブ会員を対象とした交流大会
",但馬ドーム ドーム棟グラウンド,全但バス但馬ドーム,0796-45-1900,,,日高,35.4937,134.6869
豊岡ノーマイカーデー,2024/6/28,0:00,2024/6/28,,豊岡ノーマイカーデーに合せて、豊岡市内の路線バス・コバス・イナカー・チクタクに1日乗り放題となるチケットを販売。チケットは1枚500円。,豊岡市役所,都市整備課,0796-23-1712,,,市内全域,35.5445,134.8202
瀧口 翔+マルセロ・エヴェリン『共鳴の装置（仮）』レジデンス成果発表,2024/6/29,14:00,2024/6/29,,"ダンサー・音楽家・音響デザイナーの瀧口翔とブラジルの振付家・パフォーマーのマルセロ・エヴェリンのコラボレーションによるデュオダンス作品。
遠く離れた地球の反対側に位置する日本とブラジルのアーティストが取り組む、約1か月の滞在制作の成果発表とトーク",城崎国際アートセンター,城崎国際アートセンター,0796-32-3888,,,城崎,35.629,134.7996
ママパパへの読書タイムプレゼント～図書館 託児サービス～,2024/6/29,14:00,2024/6/29,15:00,図書館による託児サービス,図書館日高分館,図書館本館,0796-23-6151,,,日高,34.69,135.1827
